"","tp"
"1",0.477183061334973
"2",0.394805722002293
"3",0.388910470665739
"4",0.353250540296183
"5",0.471410696629007
"6",0.397018503722501
"7",0.381285382385113
"8",0.513671834262174
"9",0.390949147066522
"10",0.409523488872497
"11",0.339384156387469
"12",0.431335430968807
"13",0.411454496791869
"14",0.443741674738485
"15",0.40461287069151
"16",0.41507311790403
"17",0.498342169167683
"18",0.449053923630399
"19",0.449430475266499
"20",0.43001469455693
"21",0.43880769667125
"22",0.414280223861062
"23",0.344288801242238
"24",0.446049971791174
"25",0.454948429972407
"26",0.478887368360285
"27",0.385772263078879
"28",0.475828062616146
"29",0.454875778971998
"30",0.462456726010283
"31",0.369805005629738
"32",0.343436581389244
"33",0.402616485895012
"34",0.435137947661852
"35",0.449198529404488
"36",0.419579594951592
"37",0.479534574140769
"38",0.494407085395659
"39",0.430640431634303
"40",0.35986163210286
"41",0.449310570502739
"42",0.357883193896432
"43",0.384775604150378
"44",0.437119490633279
"45",0.392220341088053
"46",0.373455717680738
"47",0.468307672385099
"48",0.3525077098674
"49",0.342227024366271
"50",0.406428827575216
"51",0.398138200131038
"52",0.371854392656370
"53",0.390654584021619
"54",0.585823560745049
"55",0.459768882568178
"56",0.419527066033864
"57",0.461086797662449
"58",0.420267987373609
"59",0.391686016991069
"60",0.452221628775585
"61",0.391646186763121
"62",0.418899044309438
"63",0.376919052698971
"64",0.415784395918383
"65",0.415701408809951
"66",0.422313437690778
"67",0.425217982134599
"68",0.382833315860781
"69",0.413017674300904
"70",0.450033927153063
"71",0.487440713019495
"72",0.408780105238976
"73",0.490962935508592
"74",0.450518884449819
"75",0.56393864378135
"76",0.439643965804268
"77",0.457723768454834
"78",0.345707680615425
"79",0.376839469842985
"80",0.385577222768866
"81",0.417150868729499
"82",0.430537999482056
"83",0.38088220793149
"84",0.399208954250022
"85",0.414270596135798
"86",0.389676442946194
"87",0.41552593453387
"88",0.579856643469679
"89",0.428136185274074
"90",0.369540584119637
"91",0.469469071480427
"92",0.394733449822477
"93",0.43453488284458
"94",0.411843274310365
"95",0.429883970694055
"96",0.352677752967322
"97",0.411373933881141
"98",0.385938853280188
"99",0.372829971027155
"100",0.451901187650827
"101",0.382870097417471
"102",0.479892501719544
"103",0.409338899797918
"104",0.411035119819188
"105",0.369899595189474
"106",0.408871120763906
"107",0.411770050331175
"108",0.504747924090576
"109",0.491295932300212
"110",0.334442572373287
"111",0.467328146514895
"112",0.446088742368966
"113",0.436856250279696
"114",0.510530804801723
"115",0.39115395274038
"116",0.373002054935202
"117",0.392063086927884
"118",0.485424781161111
"119",0.348253114085970
"120",0.388148543735899
"121",0.388513417862822
"122",0.442710174046471
"123",0.386070591147124
"124",0.490877410929116
"125",0.379080341451767
"126",0.428753402210347
"127",0.339971768291668
"128",0.472415855201164
"129",0.395313095108845
"130",0.455638091432062
"131",0.448586468707982
"132",0.46262268640355
"133",0.440942678295173
"134",0.432590668309271
"135",0.404106454808175
"136",0.530419235775025
"137",0.446007610360116
"138",0.373036711506642
"139",0.443728364648365
