"","tpmapped"
"1",0.00800701024513143
"2",0.00797777555276327
"3",0.0143570324650811
"4",0.00664493800172937
"5",0.00800191288605603
"6",0.0084356875847531
"7",0.00579048548107537
"8",0.00921325033745185
"9",0.00819401563849269
"10",0.00759060680310166
"11",0.00703446055700439
"12",0.00965503617353084
"13",0.00631093160668725
"14",0.00717117032961382
"15",0.00635733075866739
"16",0.00730491521727385
"17",0.0110105252670446
"18",0.00727312020494313
"19",0.00657924678094285
"20",0.00724117761700566
"21",0.0151403914115123
"22",0.00577227217262671
"23",0.00830378985756679
"24",0.00774159345366271
"25",0.00676264914411728
"26",0.0111979798740648
"27",0.0075871493769659
"28",0.00862604443166284
"29",0.008361726896823
"30",0.00883149356750138
"31",0.00712754259388723
"32",0.00757482125131001
"33",0.0105405668869854
"34",0.00776534488755375
"35",0.00639200504544443
"36",0.00845328121304895
"37",0.00456366949458219
"38",0.00708220831766722
"39",0.0073141762310546
"40",0.00639827859379231
"41",0.0105459253456329
"42",0.0076830025273866
"43",0.00756787063738392
"44",0.00771351443054265
"45",0.00910851583507152
"46",0.0100818893164761
"47",0.00752557229131902
"48",0.00734684969909255
"49",0.00972160211972937
"50",0.0097576671854618
"51",0.00888417177273434
"52",0.00800773918453775
"53",0.00678220897605668
"54",0.0082364187695603
"55",0.0107990141845066
"56",0.0097682755294719
"57",0.00718149806413174
"58",0.00659122963797641
"59",0.00823607428697793
"60",0.00822764085047402
"61",0.00913140078908647
"62",0.00738712395143038
"63",0.00596904114531829
"64",0.00890952873926112
"65",0.00696578270517179
"66",0.00776995055130525
"67",0.00805348811180062
"68",0.00915085829443806
"69",0.00439040386433706
"70",0.00676855379397912
"71",0.00692319348380143
"72",0.00962551554347909
"73",0.00729973324311018
"74",0.00891851099864712
"75",0.00700654101827677
"76",0.00625698493687446
"77",0.00515631692964986
"78",0.00810428480211169
"79",0.0102959768382664
"80",0.00776971403063359
"81",0.00802476359594281
"82",0.00887255998107306
"83",0.0098921462248845
"84",0.00903640027392798
"85",0.0125649941817851
"86",0.00492243780476775
"87",0.00566513731765204
"88",0.00637474621990458
"89",0.00868243465149303
"90",0.00722974277618257
"91",0.00701934859804777
"92",0.00597647870935004
"93",0.00680948548169638
"94",0.00608303824543844
"95",0.00573535320152944
"96",0.00713354619925764
"97",0.00842864199811132
"98",0.00641666603707426
"99",0.00815006911205425
"100",0.0069034749023301
"101",0.00929748040848768
"102",0.00695786206138174
"103",0.00628857672292643
"104",0.00788875727635399
"105",0.00739922088987477
"106",0.0109034308528988
"107",0.00781964207561036
"108",0.00697503213629785
"109",0.00919786369216035
"110",0.00763854035096356
"111",0.00793143629458975
"112",0.0100261467694307
"113",0.00743213203113902
"114",0.00896481760023289
"115",0.0087128540622529
"116",0.0064897620621514
"117",0.00665294166149782
"118",0.00749577113677837
"119",0.00901499119167271
"120",0.00633908604799178
"121",0.00762703333164839
"122",0.00791099333205142
"123",0.00733455017554371
"124",0.00811854766250402
"125",0.00634702395317327
"126",0.0095002456474318
"127",0.00561518521586453
"128",0.00726636678555188
"129",0.00801191168908416
"130",0.00715856675755116
"131",0.00878504079911328
"132",0.00812497978106349
"133",0.00653593910453351
"134",0.00814796236063688
"135",0.00861467776889762
"136",0.00836132833798603
"137",0.00648697159390927
"138",0.0092401995259836
"139",0.00815762366198639
"140",0.00877178640055701
"141",0.0067435539779662
"142",0.00609586410256339
"143",0.00722313070933679
"144",0.00605195290179263
"145",0.0084703883314777
"146",0.00865852026587271
"147",0.00741077223092283
"148",0.00744061450462752
"149",0.00736746595222827
"150",0.00526428422139999
"151",0.00617445228792047
"152",0.0066495419990165
"153",0.00819407097962747
"154",0.00785720128632258
"155",0.0076842376636324
"156",0.00870377639409572
"157",0.00557326029180086
"158",0.00492797623024506
"159",0.00799739635931556
"160",0.0072580387944889
"161",0.00492892521200918
"162",0.00872147719850046
"163",0.0109360920290779
"164",0.0106318626032242
"165",0.00809102466334055
"166",0.00887075030055273
"167",0.00788865765537894
"168",0.00837783181671267
"169",0.0112015327333991
"170",0.00748034227726734
"171",0.00852747900751534
"172",0.0109822222462295
"173",0.00989957666330246
"174",0.00815183572656745
"175",0.00542001019196263
"176",0.00991542090582385
"177",0.0056026826151323
"178",0.00814743162548541
"179",0.00679982454793233
"180",0.00768323056329249
"181",0.00880587814026564
"182",0.00880923313962015
"183",0.00917329704773783
"184",0.0074747771538417
"185",0.00641624234281747
"186",0.00809028383927523
"187",0.0160668730105668
"188",0.00656519869002067
"189",0.00763989234289505
"190",0.0103555991401837
"191",0.00578312686292452
"192",0.00533895481388647
"193",0.00759705072937833
"194",0.00769909288764462
"195",0.00720056774017624
"196",0.00627101763975723
"197",0.00534789965558889
"198",0.0082468915673056
"199",0.00942637608419053
"200",0.0056884504908877
"201",0.00559289921547869
"202",0.00932307588585228
"203",0.0139824478791037
"204",0.00554319464196429
"205",0.00691611700407018
"206",0.00563009952367487
"207",0.0088742863854185
"208",0.00552207798231836
"209",0.00876394040846276
"210",0.00787234809364319
"211",0.00582574527683536
"212",0.00668265025668762
"213",0.00790271784830783
"214",0.0070054408954685
"215",0.00946424986051275
"216",0.00696137740628485
"217",0.0079401754251597
"218",0.00602950954590307
"219",0.00527275199413516
"220",0.00656709506868596
"221",0.00558074368864311
"222",0.00794487366891097
"223",0.00881161877566332
"224",0.00579202216577866
"225",0.0085053046688633
"226",0.00804151892532166
