"","tpmapped"
"1",0.0190507994828534
"2",0.0192967600591009
"3",0.0255383775120755
"4",0.0265982064145109
"5",0.0185174056093444
"6",0.0317198439838271
"7",0.0192222030562027
"8",0.0164620109238818
"9",0.0202235097916125
"10",0.0218202893931338
"11",0.0183542498525844
"12",0.0141656330660105
"13",0.0236445749226872
"14",0.0585321487395082
"15",0.0231954189693292
"16",0.0196399053657467
"17",0.0163124855427605
"18",0.0181012677034723
"19",0.0303740543072993
"20",0.0182993484587758
"21",0.0190042855551453
"22",0.0158474307701639
"23",0.0306030288094945
"24",0.0161022118663085
"25",0.0180810757871027
"26",0.0377671239667405
"27",0.0301226938844032
"28",0.0188230212495019
"29",0.0141831766069633
"30",0.0472816417007466
"31",0.0200454741201660
"32",0.0162437779083480
"33",0.0567694052107019
"34",0.0154735372514935
"35",0.0251847090667363
"36",0.0323664377706526
"37",0.0342588387622405
"38",0.0178908864074583
"39",0.0165510435662809
"40",0.0500079468946944
"41",0.0350184885144989
"42",0.0270609653379606
"43",0.0238586660641533
"44",0.0235711318516155
"45",0.0316618892352843
"46",0.0190723249300112
"47",0.0162151282076876
"48",0.0150367009934359
"49",0.0156137970152026
"50",0.0300337664862035
"51",0.0168572045905876
"52",0.0233149678443999
"53",0.0178163963931456
"54",0.0155422260030908
"55",0.0217880977883492
"56",0.0212423924456104
"57",0.0282116005828083
"58",0.0251738458445463
"59",0.0170367373157016
"60",0.0480933628958486
"61",0.0170588442342377
"62",0.0162243507947267
"63",0.0205213232019340
"64",0.0139511958757566
"65",0.0246240021415912
"66",0.0163464958800947
"67",0.0153870682936682
"68",0.0296029185928622
"69",0.0226844671301524
"70",0.0238948331144395
"71",0.0278233195980686
"72",0.026943326050297
"73",0.0182181451436378
"74",0.030535817557753
"75",0.014964311412801
"76",0.0193585047039539
"77",0.0165247189616361
"78",0.0202646544055066
"79",0.0234154528371387
"80",0.0174306858844503
"81",0.0140599847913102
"82",0.0161510898634420
"83",0.0172970451353329
"84",0.0279089625871326
"85",0.0183731535292214
"86",0.0163231682897842
"87",0.0162414266697873
"88",0.0196304671933142
"89",0.0191759467518211
"90",0.0230903669404641
"91",0.0222500980463456
"92",0.0328403445497037
"93",0.0155535695223642
"94",0.0192999621211781
"95",0.0200053566335892
"96",0.015200597550079
"97",0.0191237290258871
"98",0.0532470184540878
"99",0.0174631621879574
"100",0.0144242752235944
"101",0.0154901346992050
"102",0.0147589517722058
"103",0.0358595471937317
"104",0.0236346017175262
"105",0.03316702488259
"106",0.0146212159642832
"107",0.0269335424930152
"108",0.0270121295594542
"109",0.0172578355720950
"110",0.0205547546743453
"111",0.0203247319338905
"112",0.0552428875154812
"113",0.0220517949346912
"114",0.0170362931498091
"115",0.0291098876056319
"116",0.0142632044377322
"117",0.0187038616094617
"118",0.0147419414859110
"119",0.0200896284024868
"120",0.0204487188741685
"121",0.0162610777504569
"122",0.0269252837573112
"123",0.0394206893495876
"124",0.0200527312495589
"125",0.0157048595007973
"126",0.0241258652450128
"127",0.0145018248035798
"128",0.0145409386037859
"129",0.0404754515366824
"130",0.014604286003062
"131",0.0203930173736509
"132",0.0212909286000923
"133",0.0208469815967895
"134",0.0312060957224903
"135",0.0257424941663501
"136",0.0271832963935402
"137",0.0262939089314788
"138",0.0198043045646851
"139",0.0373801700273255
"140",0.0162856482784119
"141",0.0256196178970983
"142",0.0211385219993838
"143",0.0249862459164316
"144",0.0159968936391395
"145",0.0196376218169043
"146",0.0157020237950332
"147",0.0149879898058059
"148",0.0139299563173877
"149",0.0357396204455027
"150",0.0173949621996573
"151",0.0171498782376719
"152",0.0295066598315522
"153",0.0309448772770714
"154",0.0284573669948775
"155",0.0143375036101565
"156",0.017954558417314
"157",0.0230269048681712
"158",0.0176206499925954
"159",0.0170027364582813
"160",0.0148067031167256
"161",0.0207598944205307
"162",0.0188773459208
"163",0.0354961117224357
"164",0.018870353207971
"165",0.0157012578043674
