"","mds","duchon","soap","tprs"
"1",42.6029083278274,42.5767110159344,35.0656186374333,92.0166122658576
"2",44.5477610023359,52.1343832003832,37.25759724816,92.585199200017
"3",47.7056758963125,49.4872442917448,40.6512892252265,92.880145806051
"4",47.3714372141749,57.0784987794752,47.1658802307365,92.9370448827025
"5",48.6276383064985,54.0390898156012,44.2583479596922,94.8006282276324
"6",42.9916904277229,50.8514650070312,40.0730884522061,92.3369760799621
"7",42.2322072392352,43.2988555744966,34.6740295935642,94.9718206499382
"8",44.4567694488377,50.0808458885238,36.9389008347507,91.7849453833062
"9",49.751930076281,55.9998465990802,42.4775178705512,93.7781125015971
"10",50.6253977185684,48.3366357808665,34.2929937482618,91.48556708113
"11",55.1938598420268,57.0198514404866,36.7694919132296,94.006769675559
"12",57.0351657656401,67.9489405693927,43.5557932773025,92.045930808582
"13",40.3873618250115,45.8396600505289,34.0932089049243,93.7526797003764
"14",42.9241808099704,46.640143969386,36.2201669799454,94.2307899750172
"15",44.6311940824119,49.3086853958816,40.7660558155219,91.6766327463186
"16",44.405758621766,53.6108025298124,44.2480520978146,93.5837007367892
"17",45.7485706401981,44.3070871357472,35.3845025360599,89.0254289401086
"18",44.5570071536608,53.5532544512697,42.275273516604,93.8415531005793
"19",41.8367159767936,48.8334382230262,39.7771245310707,93.2169218118817
"20",48.1613757575856,57.0417651786075,44.1002372680881,92.5825883510102
"21",45.6216216608182,59.6624709659009,43.9490593842624,93.0249229816776
"22",47.4669250774979,57.4371576487401,43.0101897961166,92.9137443868618
"23",44.985501171616,48.2401381305098,35.9376450304520,91.97599753956
"24",46.6380601633857,51.1145490765698,38.3313336813583,91.475233440132
"25",56.5806389101949,53.5776108325399,40.3015012298988,92.6003153984758
"26",50.8875417251241,47.9500345847841,39.3507585681961,93.4620787850325
"27",51.3651095118324,53.6686670632545,40.3232212936187,95.6350605116586
"28",44.9762663464525,46.5509728001119,36.2930438072495,93.2901545310533
"29",49.4981813680369,54.6858559796588,42.7398315731682,94.33508342069
"30",44.381884015247,50.8093863497989,39.2107866853004,92.2848678633344
"31",53.5836898799602,48.9764310940584,46.7428331665689,93.8059912873633
"32",41.8106822627787,43.5097608644106,33.1324410727499,92.5889169760165
"33",57.0279363486475,64.9579697971578,42.5760192333095,88.6864594656727
"34",48.40304131053,47.2392305868173,38.8750233087435,91.6495628649707
"35",47.1270332620868,50.2229978618927,40.7451023800485,94.1091592264034
"36",49.2489227829252,52.6012408250843,37.7985610572689,89.7673644883456
"37",33.3525189838491,38.2919108811181,31.6659818066919,92.30333502301
"38",64.9531933098958,48.8224276004304,34.9159636018364,91.9470476141268
"39",46.5092886350367,50.1684304983852,37.5883847717189,92.853957333617
"40",57.0511473111237,49.7016968181032,38.2226287729902,92.0754096412636
"41",43.9111223263285,56.7030268013399,48.5449512234513,91.4710570903152
"42",46.9592531945201,47.506796672508,35.5006106520165,92.4153375267845
"43",45.3981588298482,48.8269533391376,36.7547619988459,91.9924187367444
"44",47.7670867768511,46.288924674025,35.9947776077084,92.4274031186715
"45",48.2078449620442,51.3472944873249,34.8607714869475,94.0944332749569
"46",47.2105118073745,55.1381782305014,39.0993049700082,93.839776038004
"47",47.9377731333221,54.8085006219741,42.9418171984522,95.5661255210412
"48",50.247263367153,55.0438551801887,41.3475307952132,93.2308010944285
"49",43.4799847225545,48.6900308599398,43.9224520877236,91.48190482774
"50",42.7708036833167,50.5278310265988,45.8426659925202,94.2011989070738
"51",49.47499421928,48.132230761806,41.0177800953905,91.3624500923337
"52",54.4964202862312,53.677029612339,39.0498837197418,91.8246714840406
"53",45.0642044072875,46.6998279205812,36.3857126831113,93.8468630859591
"54",46.0925013879945,57.0470207584575,50.3962788330033,92.4028653271093
"55",61.027380255728,63.7138790814202,38.9288956872370,92.2607885301045
"56",54.0063722624646,53.8018996416259,40.8552154929029,90.8184208695261
"57",43.736748009313,56.0461877398436,39.1375458689226,92.9226679734512
"58",39.6761063459063,45.1144731418273,34.8108056499425,91.8961920861324
"59",42.4287896581900,46.3912117635025,37.6710585025206,91.1657795824818
"60",53.0046629272859,54.4881339912495,41.9767211561116,91.6691467957828
"61",48.8179010156314,56.0824388934919,41.7280538599593,93.0077717545907
"62",48.8230532064764,51.5921670176364,39.44405877841,89.2145177462709
"63",45.9840849847654,47.2573478880023,35.5691476606029,91.8706464208635
"64",43.2479569910815,56.6707779894371,48.2837624521335,93.0623745957568
"65",45.6709654042995,53.8321643999228,42.4792152105285,92.9224583021031
"66",43.5158721707398,53.504790052627,37.3525806152707,93.1325550575057
"67",44.2207953799518,51.3650269603664,36.8163254237175,92.7680572927537
"68",47.011871860113,51.5017381106808,36.5305025207478,93.2716479776539
"69",43.317382884831,46.9505214812787,35.6406600050962,92.4341882257417
"70",45.0406779136724,51.2074628494476,38.0434889712379,94.0952923175148
"71",42.24525663265,42.1056154825816,33.0334607954447,94.3770642062512
"72",42.5108147693531,48.0807785973327,38.8805353421585,92.7929707754695
"73",47.3498174529369,52.0331899753132,38.964089539375,92.6826437936132
"74",46.6464508404846,48.2591181797258,42.636045507657,92.1482769085774
"75",51.2068736345203,56.9686528494202,41.7041615759013,90.8550431846908
"76",32.4751799054791,32.8824190088182,32.3872933644405,92.8693895071814
"77",37.8643963393832,40.7572736854222,34.4325488186786,93.9253962070415
"78",50.9752182619726,54.1224970869014,39.3322072040139,92.1743572947078
"79",44.1578259629512,46.6804254300412,40.7313941723082,93.0393653535942
"80",54.3965012154468,56.7273672728405,38.3562962924005,92.0323004332546
