"","tp"
"1",0.297574878710786
"2",0.319695293073277
"3",0.343757749727851
"4",0.265832188968801
"5",0.273200526969341
"6",0.322994393137927
"7",0.298453412718957
"8",0.295327796289710
"9",0.298085378241706
"10",0.30996968402977
"11",0.287798022099844
"12",0.257350332738816
"13",0.274910483506295
"14",0.291501380028906
"15",0.291923389202865
"16",0.296444704379392
"17",0.308703512869893
"18",0.288923705891053
"19",0.269727082466025
"20",0.28173038300334
"21",0.271820968399696
"22",0.276109673736829
"23",0.304402966132309
"24",0.274382296621524
"25",0.306234455189243
"26",0.298197351278249
"27",0.273346413046526
"28",0.290262554471732
"29",0.329067939866303
"30",0.313616278662029
"31",0.284211637563074
"32",0.25681546274175
"33",0.271460145873441
"34",0.324715084206689
"35",0.273080621760104
"36",0.27088351366377
"37",0.287058794092492
"38",0.260604827719468
"39",0.27784613954193
"40",0.285699400007905
"41",0.263933877082448
"42",0.257281597826295
"43",0.274004168125737
"44",0.258445395269142
"45",0.304720093632863
"46",0.294755158263799
"47",0.288735290514704
"48",0.304779965020463
"49",0.282367603115956
"50",0.294653366950403
"51",0.273055552434196
"52",0.317216932563008
"53",0.291695651155309
"54",0.271422348090700
"55",0.278882672452352
"56",0.278405084712342
"57",0.378078141076194
"58",0.256072824812493
"59",0.289107015850474
"60",0.280724328443374
"61",0.270056259788045
"62",0.289617753011701
"63",0.260977656117368
"64",0.328055004262154
"65",0.280581969166045
"66",0.275685556184653
"67",0.325923043874113
"68",0.295233506758713
"69",0.273321211550569
"70",0.252598863553202
"71",0.269434140397196
"72",0.332228035523105
"73",0.273492066712217
"74",0.258919323936957
"75",0.28227213910153
"76",0.266957447868224
"77",0.279891299555813
"78",0.301407038869572
"79",0.260981635257009
"80",0.277748374020331
"81",0.266264379318988
"82",0.262065477287157
"83",0.265111587561373
"84",0.302362099819044
"85",0.326506500073477
"86",0.282895996886820
"87",0.30860921549465
"88",0.278705635123217
"89",0.300970666414427
"90",0.276530852575585
"91",0.273798121043855
"92",0.273250226192555
"93",0.307503616607859
"94",0.292078334819356
"95",0.277073497840829
"96",0.277423101659378
"97",0.305599515060131
"98",0.295653535097453
"99",0.287250747912914
"100",0.273330539021138
"101",0.266369012310804
"102",0.279340100593058
"103",0.246535259420482
"104",0.259525996182162
"105",0.278031103136804
"106",0.292368898104585
"107",0.257902330080167
"108",0.274647419604912
"109",0.293111614766842
"110",0.280967043860168
"111",0.289385970551650
"112",0.298236256011427
"113",0.264691803645437
"114",0.26345256439955
"115",0.303642481357487
"116",0.276238440396128
"117",0.282159673221381
"118",0.282722723598492
"119",0.27643328526505
"120",0.263016563202951
"121",0.262559252536998
"122",0.280361831869136
"123",0.302394166240589
"124",0.283243630462991
"125",0.298712324247607
"126",0.275985780156537
"127",0.299659835325452
"128",0.286857161460716
"129",0.269548182569523
"130",0.270993599495003
"131",0.297847573753529
"132",0.269892860074478
"133",0.309084632304326
"134",0.260298827815624
"135",0.283491728662420
"136",0.286183135186396
"137",0.271904307197455
"138",0.269280894306457
"139",0.293299067201501
"140",0.263103066604745
"141",0.282585580628049
"142",0.271677846541864
"143",0.259612540140986
"144",0.276028090858691
"145",0.299176729096343
"146",0.272675260656393
"147",0.28982414536882
"148",0.251480149135745
"149",0.307415007944381
"150",0.274430937294016
"151",0.268575480643956
"152",0.318211734717395
"153",0.26751090149256
"154",0.292877944345701
"155",0.299261034104545
"156",0.280177513649501
"157",0.257361711056178
"158",0.275277276755809
"159",0.286647912615927
"160",0.280516305727996
"161",0.274944547999203
"162",0.271746616672534
"163",0.292373927661107
"164",0.275455784428739
"165",0.256891310652916
"166",0.26152004534922
"167",0.330709525456473
"168",0.277474939984548
"169",0.276621411168921
"170",0.298471346988909
"171",0.247630499727949
"172",0.249893113732863
"173",0.266385674059074
"174",0.29247990613068
"175",0.263797977602179
"176",0.272630226571959
"177",0.290517560213531
"178",0.305663475921039
"179",0.266069458225849
"180",0.284516728807371
"181",0.283356377458399
"182",0.265480260149011
"183",0.263072887948174
"184",0.289800997445143
"185",0.297768580903177
"186",0.269957137465403
"187",0.268540718586353
"188",0.263958406873513
"189",0.255194069786892
"190",0.267574255706098
"191",0.272393928755916
"192",0.298631891142986
"193",0.325712048613062
"194",0.290778566528146
"195",0.256724262808777
"196",0.274155639200624
"197",0.290349673230097
"198",0.258905025112262
"199",0.258124262563691
"200",0.261498459918730
"201",0.28959494751892
"202",0.251678584187013
"203",0.284124468679489
"204",0.285374572684455
"205",0.29442560471835
"206",0.264983860807065
"207",0.290799535779129
"208",0.29166696695787
"209",0.278209306287155
"210",0.285716609677647
"211",0.27210226143426
"212",0.278690930636676
"213",0.279190779511340
"214",0.278237863201542
"215",0.297630277702042
"216",0.306868617337262
"217",0.289271549705380
"218",0.288308441735410
"219",0.286060458172899
"220",0.278644498047089
"221",0.287873763559854
"222",0.274334863562302
"223",0.275653321669373
"224",0.263216537033079
"225",0.281257102939721
"226",0.27645707618002
"227",0.270586108713944
"228",0.273501651848898
"229",0.288231664446365
"230",0.280876703080046
"231",0.290678009740763
"232",0.292154242034639
"233",0.264880159885172
"234",0.253150813505634
"235",0.280139809064423
"236",0.319953491803147
"237",0.293298561260792
"238",0.280667872361496
"239",0.277138382826433
"240",0.268685428587767
"241",0.294974505188292
"242",0.273106740031283
"243",0.27630182014548
"244",0.278874837146406
"245",0.273751993212319
"246",0.277828630338227
"247",0.269995288320303
"248",0.280155957876854
"249",0.281132829430279
"250",0.302407013665107
