"","mse","labs"
"1",0.0103106791239095,"SC+TPRS"
"2",0.00883776725227252,"SC+TPRS"
"3",0.0110990347876201,"SC+TPRS"
"4",0.00913985299333529,"SC+TPRS"
"5",0.00897350103786968,"SC+TPRS"
"6",0.00941211631087034,"SC+TPRS"
"7",0.00955309371662944,"SC+TPRS"
"8",0.0101621726049039,"SC+TPRS"
"9",0.00940892916352806,"SC+TPRS"
"10",0.00986208693980464,"SC+TPRS"
"11",0.0095717520838314,"SC+TPRS"
"12",0.0101494532802695,"SC+TPRS"
"13",0.0099725037274099,"SC+TPRS"
"14",0.00956103730605057,"SC+TPRS"
"15",0.00991846646756948,"SC+TPRS"
"16",0.0097270375494012,"SC+TPRS"
"17",0.00936479375485978,"SC+TPRS"
"18",0.00940564599396329,"SC+TPRS"
"19",0.0093604090268119,"SC+TPRS"
"20",0.00994365306181233,"SC+TPRS"
"21",0.00915302407401851,"SC+TPRS"
"22",0.0108173541840544,"SC+TPRS"
"23",0.00900636980553004,"SC+TPRS"
"24",0.0104841080540504,"SC+TPRS"
"25",0.0101195823090497,"SC+TPRS"
"26",0.00959755543416654,"SC+TPRS"
"27",0.00947533093214237,"SC+TPRS"
"28",0.00973442325788631,"SC+TPRS"
"29",0.0095677746744412,"SC+TPRS"
"30",0.00904012708286738,"SC+TPRS"
"31",0.00907529259163692,"SC+TPRS"
"32",0.00915407141485983,"SC+TPRS"
"33",0.0100812697378777,"SC+TPRS"
"34",0.00944034467155833,"SC+TPRS"
"35",0.0110111332666460,"SC+TPRS"
"36",0.00945535684615283,"SC+TPRS"
"37",0.009819431221899,"SC+TPRS"
"38",0.00961917693662909,"SC+TPRS"
"39",0.0102110096948127,"SC+TPRS"
"40",0.0104621913512566,"SC+TPRS"
"41",0.00964650698119158,"SC+TPRS"
"42",0.00992684620204777,"SC+TPRS"
"43",0.00897606913010576,"SC+TPRS"
"44",0.00971037074181495,"SC+TPRS"
"45",0.0096051351969314,"SC+TPRS"
"46",0.00894379563619552,"SC+TPRS"
"47",0.0090998066995903,"SC+TPRS"
"48",0.00907338369432359,"SC+TPRS"
"49",0.00878682699076959,"SC+TPRS"
"50",0.00941263157105454,"SC+TPRS"
"51",0.00878698707599103,"SC+TPRS"
"52",0.00936445827388642,"SC+TPRS"
"53",0.0099853939691189,"SC+TPRS"
"54",0.00944690152768604,"SC+TPRS"
"55",0.0097007434394691,"SC+TPRS"
"56",0.00988599447236049,"SC+TPRS"
"57",0.00954674264341148,"SC+TPRS"
"58",0.00936080878508177,"SC+TPRS"
"59",0.00976645235630538,"SC+TPRS"
"60",0.0101411992993481,"SC+TPRS"
"61",0.0100483078901946,"SC+TPRS"
"62",0.00961464248225327,"SC+TPRS"
"63",0.0095078487038777,"SC+TPRS"
"64",0.00931235914219172,"SC+TPRS"
"65",0.0104666097124253,"SC+TPRS"
"66",0.0095034110969281,"SC+TPRS"
"67",0.00921353535267743,"SC+TPRS"
"68",0.00979592402321359,"SC+TPRS"
"69",0.0101829920888695,"SC+TPRS"
"70",0.0101441857072577,"SC+TPRS"
"71",0.00933212906834966,"SC+TPRS"
"72",0.00876795115422402,"SC+TPRS"
"73",0.00977763177826267,"SC+TPRS"
"74",0.00938604825301188,"SC+TPRS"
"75",0.00995088920199996,"SC+TPRS"
"76",0.00951028994781939,"SC+TPRS"
"77",0.00951996296278228,"SC+TPRS"
"78",0.0101117695344009,"SC+TPRS"
"79",0.00955061095519783,"SC+TPRS"
"80",0.00933615248345468,"SC+TPRS"
"81",0.00984203838019058,"SC+TPRS"
"82",0.00955819429658992,"SC+TPRS"
"83",0.00936027875049493,"SC+TPRS"
"84",0.00935792006218783,"SC+TPRS"
"85",0.0093430495787513,"SC+TPRS"
"86",0.00929001771830673,"SC+TPRS"
"87",0.00886270734594325,"SC+TPRS"
"88",0.00973021650060018,"SC+TPRS"
"89",0.0092843633971436,"SC+TPRS"
"90",0.00888828873875407,"SC+TPRS"
"91",0.0098145542473974,"SC+TPRS"
"92",0.00959378252092264,"SC+TPRS"
"93",0.0104189526430828,"SC+TPRS"
"94",0.00947425937793656,"SC+TPRS"
"95",0.00915507340518155,"SC+TPRS"
"96",0.0100977624514155,"SC+TPRS"
"97",0.00991768440056472,"SC+TPRS"
"98",0.00952487065749464,"SC+TPRS"
"99",0.0103647501965620,"SC+TPRS"
"100",0.009692046228173,"SC+TPRS"
"101",0.00939253645280856,"SC+TPRS"
"102",0.0104561195538339,"SC+TPRS"
"103",0.00949876758604714,"SC+TPRS"
"104",0.0102820234944335,"SC+TPRS"
"105",0.0101665922482874,"SC+TPRS"
"106",0.00998234323057896,"SC+TPRS"
"107",0.00863742417597433,"SC+TPRS"
"108",0.00951511365733266,"SC+TPRS"
"109",0.0105168113171247,"SC+TPRS"
"110",0.0104368112801742,"SC+TPRS"
"111",0.0095864752932623,"SC+TPRS"
"112",0.00903192970627418,"SC+TPRS"
"113",0.00980357157005378,"SC+TPRS"
"114",0.00939513085070304,"SC+TPRS"
"115",0.0089363153302042,"SC+TPRS"
"116",0.00994429551716129,"SC+TPRS"
"117",0.0113377912262590,"SC+TPRS"
"118",0.00968574774797274,"SC+TPRS"
"119",0.00934980428701913,"SC+TPRS"
"120",0.00927598670103028,"SC+TPRS"
"121",0.00954392879711853,"SC+TPRS"
"122",0.00929627642483015,"SC+TPRS"
"123",0.0094433595900748,"SC+TPRS"
"124",0.00951607245139323,"SC+TPRS"
"125",0.00887718723752754,"SC+TPRS"
"126",0.00955382392971637,"SC+TPRS"
"127",0.0092784695602597,"SC+TPRS"
"128",0.00918832435312791,"SC+TPRS"
"129",0.00933040057810441,"SC+TPRS"
"130",0.0097379405832951,"SC+TPRS"
"131",0.0100770420782313,"SC+TPRS"
"132",0.0088055985309106,"SC+TPRS"
"133",0.0094035932157771,"SC+TPRS"
"134",0.0091903830526441,"SC+TPRS"
"135",0.00938576375226829,"SC+TPRS"
"136",0.00983460419976726,"SC+TPRS"
"137",0.0105214833700832,"SC+TPRS"
"138",0.0109732756701824,"SC+TPRS"
"139",0.00872228258072286,"SC+TPRS"
"140",0.0089196160705094,"SC+TPRS"
"141",0.00992163718148136,"SC+TPRS"
"142",0.00934352596310235,"SC+TPRS"
"143",0.00877428874055516,"SC+TPRS"
"144",0.0101069204417270,"SC+TPRS"
"145",0.00930571522076132,"SC+TPRS"
"146",0.0097079347101534,"SC+TPRS"
"147",0.00927000943773628,"SC+TPRS"
"148",0.00953962182260995,"SC+TPRS"
"149",0.0101457201170908,"SC+TPRS"
"150",0.00996365585973346,"SC+TPRS"
"151",0.00912160325275492,"SC+TPRS"
"152",0.00949264575146825,"SC+TPRS"
"153",0.00901677872598608,"SC+TPRS"
"154",0.0093735869929397,"SC+TPRS"
"155",0.00895047982959571,"SC+TPRS"
"156",0.00912024718277707,"SC+TPRS"
"157",0.00912579011258186,"SC+TPRS"
"158",0.00970294693081431,"SC+TPRS"
"159",0.00980828347486121,"SC+TPRS"
"160",0.0090038768565636,"SC+TPRS"
"161",0.00942827902490036,"SC+TPRS"
"162",0.0088966226443263,"SC+TPRS"
"163",0.00951930115655489,"SC+TPRS"
"164",0.00905576012405967,"SC+TPRS"
"165",0.01058379275722,"SC+TPRS"
"166",0.00961497750094015,"SC+TPRS"
"167",0.00891350692527736,"SC+TPRS"
"168",0.00959796651673473,"SC+TPRS"
"169",0.0099911772486037,"SC+TPRS"
"170",0.009386235496449,"SC+TPRS"
"171",0.0101596079422016,"SC+TPRS"
"172",0.00912850897634928,"SC+TPRS"
"173",0.00967121495576239,"SC+TPRS"
"174",0.0095285174528946,"SC+TPRS"
"175",0.00915586486345948,"SC+TPRS"
"176",0.00920858454940256,"SC+TPRS"
"177",0.00910273325917716,"SC+TPRS"
"178",0.00930324534165116,"SC+TPRS"
"179",0.00976899246934212,"SC+TPRS"
"180",0.009827077399554,"SC+TPRS"
"181",0.00942101750533692,"SC+TPRS"
"182",0.00910909865746757,"SC+TPRS"
"183",0.00891658577248332,"SC+TPRS"
"184",0.00939232022488912,"SC+TPRS"
"185",0.00970576688030456,"SC+TPRS"
"186",0.00901316116009086,"SC+TPRS"
"187",0.00932904315871413,"SC+TPRS"
"188",0.00938700951458456,"SC+TPRS"
"189",0.00942010986368062,"SC+TPRS"
"190",0.0097511891517716,"SC+TPRS"
"191",0.0094115751199769,"SC+TPRS"
"192",0.0092881791810311,"SC+TPRS"
"193",0.00949205437582494,"SC+TPRS"
"194",0.00978820124018918,"SC+TPRS"
"195",0.00931110862786424,"SC+TPRS"
"196",0.0089540433274039,"SC+TPRS"
"197",0.00900893177010983,"SC+TPRS"
"198",0.00921171952392317,"SC+TPRS"
"199",0.00986672256252427,"SC+TPRS"
"200",0.00938654823377514,"SC+TPRS"
"201",0.00929223707672098,"SC+TPRS"
"202",0.0096330817255308,"SC+TPRS"
"203",0.0102120478819272,"SC+TPRS"
"204",0.00941625580554668,"SC+TPRS"
"205",0.00913779583042637,"SC+TPRS"
"206",0.00929139927016023,"SC+TPRS"
"207",0.00896085297432551,"SC+TPRS"
"208",0.00995173537649914,"SC+TPRS"
"209",0.00916719439191341,"SC+TPRS"
"210",0.00932513914182214,"SC+TPRS"
"211",0.00941896526923581,"SC+TPRS"
"212",0.00990663538212432,"SC+TPRS"
"213",0.00949051561172535,"SC+TPRS"
"214",0.00924309192968383,"SC+TPRS"
"215",0.00989899476094822,"SC+TPRS"
"216",0.00968536862873883,"SC+TPRS"
"217",0.00913896761453503,"SC+TPRS"
"218",0.00951426575534577,"SC+TPRS"
"219",0.00878707983914631,"SC+TPRS"
"220",0.0104187566820454,"SC+TPRS"
"221",0.00935765809807384,"SC+TPRS"
"222",0.0095858497262918,"SC+TPRS"
"223",0.00906871146646186,"SC+TPRS"
"224",0.00907760406050433,"SC+TPRS"
"225",0.00904523607660753,"SC+TPRS"
"226",0.00968658749899933,"SC+TPRS"
"227",0.00946413996388513,"SC+TPRS"
"228",0.00977643434894997,"SC+TPRS"
"229",0.00960644189514004,"SC+TPRS"
"230",0.00938087995132654,"SC+TPRS"
"231",0.00956655190975052,"SC+TPRS"
"232",0.00956319312019475,"SC+TPRS"
"233",0.00989250508746504,"SC+TPRS"
"234",0.00955310261513497,"SC+TPRS"
"235",0.0101457449729486,"SC+TPRS"
"236",0.0091795752293135,"SC+TPRS"
"237",0.0092586270222088,"SC+TPRS"
"238",0.00981762197361125,"SC+TPRS"
"239",0.00975661309485757,"SC+TPRS"
"240",0.0099756111369874,"SC+TPRS"
"241",0.00963174254381245,"SC+TPRS"
"242",0.0101907060425339,"SC+TPRS"
"243",0.00986364776104844,"SC+TPRS"
"244",0.0098050691084105,"SC+TPRS"
"245",0.00993089243812797,"SC+TPRS"
"246",0.00889555687156189,"SC+TPRS"
"247",0.00979796331591857,"SC+TPRS"
"248",0.00998428341734932,"SC+TPRS"
"249",0.00927691382786017,"SC+TPRS"
"250",0.00906836782634775,"SC+TPRS"
"251",0.00958603385504576,"SC+TPRS"
"252",0.00980902220301906,"SC+TPRS"
"253",0.00917779383928687,"SC+TPRS"
"254",0.0093697846901232,"SC+TPRS"
"255",0.0088554070653025,"SC+TPRS"
"256",0.00894264904208332,"SC+TPRS"
"257",0.0098525754621659,"SC+TPRS"
"258",0.00995926325909616,"SC+TPRS"
"259",0.00936420065520598,"SC+TPRS"
"260",0.00851075285612463,"SC+TPRS"
"261",0.00894785049415276,"SC+TPRS"
"262",0.00972593136705214,"SC+TPRS"
"263",0.0101806668107433,"SC+TPRS"
"264",0.00915382817854505,"SC+TPRS"
"265",0.00955552496900197,"SC+TPRS"
"266",0.0096451244757859,"SC+TPRS"
"267",0.00949932510529098,"SC+TPRS"
"268",0.00965319869567245,"SC+TPRS"
"269",0.00906054508250537,"SC+TPRS"
"270",0.0106389928194548,"SC+TPRS"
"271",0.00936597400189679,"SC+TPRS"
"272",0.00896078329876376,"SC+TPRS"
"273",0.0102275126163301,"SC+TPRS"
"274",0.00982812599010576,"SC+TPRS"
"275",0.0105506230695282,"SC+TPRS"
"276",0.0101126076766162,"SC+TPRS"
"277",0.0095633490272022,"SC+TPRS"
"278",0.0104453263205826,"SC+TPRS"
"279",0.0103149431759532,"SC+TPRS"
"280",0.00917333111680738,"SC+TPRS"
"281",0.00978418696059144,"SC+TPRS"
"282",0.00928584542307519,"SC+TPRS"
"283",0.00929528634067405,"SC+TPRS"
"284",0.00941908754059946,"SC+TPRS"
"285",0.00939538649110223,"SC+TPRS"
"286",0.00904032154131123,"SC+TPRS"
"287",0.00917277693170612,"SC+TPRS"
"288",0.00970514708162574,"SC+TPRS"
"289",0.00981175693064657,"SC+TPRS"
"290",0.00977104873098914,"SC+TPRS"
"291",0.00966128333960538,"SC+TPRS"
"292",0.0101949852830272,"SC+TPRS"
"293",0.00865247164902137,"SC+TPRS"
"294",0.00945139362558644,"SC+TPRS"
"295",0.00907345243116542,"SC+TPRS"
"296",0.00933974596909082,"SC+TPRS"
"297",0.00960499812442632,"SC+TPRS"
"298",0.00875773958061704,"SC+TPRS"
"299",0.00942136238303364,"SC+TPRS"
"300",0.00966823512852918,"SC+TPRS"
"301",0.0100777387131014,"SC+TPRS"
"302",0.00987208776103025,"SC+TPRS"
"303",0.00992202227301926,"SC+TPRS"
"304",0.010336340173281,"SC+TPRS"
"305",0.00949014359522676,"SC+TPRS"
"306",0.00936316088358742,"SC+TPRS"
"307",0.00944978529964826,"SC+TPRS"
"308",0.00887512306139574,"SC+TPRS"
"309",0.00985654107996368,"SC+TPRS"
"310",0.0102718078402503,"SC+TPRS"
"311",0.00921632269226393,"SC+TPRS"
"312",0.00979049330098592,"SC+TPRS"
"313",0.0100000596313883,"SC+TPRS"
"314",0.0102738118127349,"SC+TPRS"
"315",0.0101200640470628,"SC+TPRS"
"316",0.0104931506156282,"SC+TPRS"
"317",0.00939482005721401,"SC+TPRS"
"318",0.00884358054371073,"SC+TPRS"
"319",0.00949223795983855,"SC+TPRS"
"320",0.00961052498317507,"SC+TPRS"
"321",0.00932988030480109,"SC+TPRS"
"322",0.00956261954327677,"SC+TPRS"
"323",0.0101363356953018,"SC+TPRS"
"324",0.00911127937678668,"SC+TPRS"
"325",0.00956889327700038,"SC+TPRS"
"326",0.0097568814050155,"SC+TPRS"
"327",0.009760950238685,"SC+TPRS"
"328",0.00932812186662031,"SC+TPRS"
"329",0.00969307521529631,"SC+TPRS"
"330",0.00897368926276903,"SC+TPRS"
"331",0.00947375604915942,"SC+TPRS"
"332",0.00890565560137779,"SC+TPRS"
"333",0.00861522247413168,"SC+TPRS"
"334",0.0095439945045096,"SC+TPRS"
"335",0.00927764145822028,"SC+TPRS"
"336",0.00982288923086993,"SC+TPRS"
"337",0.00954411230294463,"SC+TPRS"
"338",0.00851048559580623,"SC+TPRS"
"339",0.0101748528120967,"SC+TPRS"
"340",0.00955917878440694,"SC+TPRS"
"341",0.00947588501950522,"SC+TPRS"
"342",0.0093406135378654,"SC+TPRS"
"343",0.0099347218277023,"SC+TPRS"
"344",0.00970542903058133,"SC+TPRS"
"345",0.00988624567512896,"SC+TPRS"
"346",0.0100156017173145,"SC+TPRS"
"347",0.00979388638007885,"SC+TPRS"
"348",0.00952615230063513,"SC+TPRS"
"349",0.00900703192471215,"SC+TPRS"
"350",0.00940379065243172,"SC+TPRS"
"351",0.00976449122831626,"SC+TPRS"
"352",0.00925218802449082,"SC+TPRS"
"353",0.0103488715911679,"SC+TPRS"
"354",0.00981625679377376,"SC+TPRS"
"355",0.00936540190441708,"SC+TPRS"
"356",0.00961445897084567,"SC+TPRS"
"357",0.00946025248081042,"SC+TPRS"
"358",0.0099838265530278,"SC+TPRS"
"359",0.0087155778771674,"SC+TPRS"
"360",0.0093698787894363,"SC+TPRS"
"361",0.0109586305094340,"SC+TPRS"
"362",0.00950497889810232,"SC+TPRS"
"363",0.0096379117548905,"SC+TPRS"
"364",0.00886570953986002,"SC+TPRS"
"365",0.00946187944074616,"SC+TPRS"
"366",0.00923990968956152,"SC+TPRS"
"367",0.0102412160286140,"SC+TPRS"
"368",0.00943476279079942,"SC+TPRS"
"369",0.00939399499727409,"SC+TPRS"
"370",0.00885753612499971,"SC+TPRS"
"371",0.00890121144412268,"SC+TPRS"
"372",0.0101676325835962,"SC+TPRS"
"373",0.0101601300106417,"SC+TPRS"
"374",0.00946227580609853,"SC+TPRS"
"375",0.0109795325875477,"SC+TPRS"
"376",0.00933168265222221,"SC+TPRS"
"377",0.00981919571171104,"SC+TPRS"
"378",0.00934334586534637,"SC+TPRS"
"379",0.00946079507961971,"SC+TPRS"
"380",0.00922752520628933,"SC+TPRS"
"381",0.0094231869544383,"SC+TPRS"
"382",0.0094324200116647,"SC+TPRS"
"383",0.009627368048971,"SC+TPRS"
"384",0.00928438843983388,"SC+TPRS"
"385",0.00985598339200275,"SC+TPRS"
"386",0.00949486192653533,"SC+TPRS"
"387",0.00901366732667383,"SC+TPRS"
"388",0.0093390626761036,"SC+TPRS"
"389",0.00966866795764913,"SC+TPRS"
"390",0.00912419332115843,"SC+TPRS"
"391",0.00956915944396652,"SC+TPRS"
"392",0.00977881202102179,"SC+TPRS"
"393",0.00913333291279536,"SC+TPRS"
"394",0.00953714398300787,"SC+TPRS"
"395",0.00989793912233601,"SC+TPRS"
"396",0.0093107522804587,"SC+TPRS"
"397",0.00948301316019802,"SC+TPRS"
"398",0.00954372883904026,"SC+TPRS"
"399",0.00935253824455993,"SC+TPRS"
"400",0.00936160491392132,"SC+TPRS"
"401",0.00977641231610643,"SC+TPRS"
"402",0.00906432695652732,"SC+TPRS"
"403",0.0097861679261486,"SC+TPRS"
"404",0.0104456346630377,"SC+TPRS"
"405",0.00958266062477705,"SC+TPRS"
"406",0.0093782631068563,"SC+TPRS"
"407",0.00964819854993437,"SC+TPRS"
"408",0.0107276670122781,"SC+TPRS"
"409",0.00899277819032136,"SC+TPRS"
"410",0.00956062905283084,"SC+TPRS"
"411",0.00965739017927413,"SC+TPRS"
"412",0.00936664679616087,"SC+TPRS"
"413",0.00973365613530562,"SC+TPRS"
"414",0.00976295577583928,"SC+TPRS"
