"","mdstpadj"
"1",10.5155973815933
"2",12.4465305065063
"3",10.2383507850783
"4",8.92747249269841
"5",11.9282474658604
"6",11.4744652411233
"7",9.56379483012478
"8",12.5526750541132
"9",16.9034057405901
"10",9.70752219887472
"11",11.3811678842778
"12",13.3848747392240
"13",14.6113084384749
"14",15.5661814887790
"15",9.08324719889815
"16",11.2104397027208
"17",9.14751106662893
"18",10.3789572441469
"19",7.80049678287673
"20",12.6633430158441
"21",10.2329706475339
"22",11.0963531760872
"23",9.30216459428627
"24",11.4242834902924
"25",14.819392183417
"26",10.0849031682733
"27",10.4560519720895
"28",11.9742274599188
"29",10.6526037527604
"30",10.9038644726773
"31",9.6225271183754
"32",8.91392266963283
"33",11.7645178002609
"34",12.9955732685681
"35",9.733826243292
"36",16.1620622381667
"37",12.7703094887823
"38",13.7841201367807
"39",12.4726923755045
"40",14.5000577142711
"41",15.1642230156717
"42",10.8896363445023
"43",12.1930285024399
"44",14.0663254784267
"45",15.2613408520273
"46",12.5478213186417
"47",10.5368124821193
"48",15.1022838770722
"49",16.2927712420665
"50",12.0797429502625
"51",9.14495375196838
"52",12.5101700871107
"53",11.1208940195315
"54",10.7622501986654
"55",12.6729368715767
"56",13.1313958476227
"57",11.0749247369208
"58",9.81538969347674
"59",10.3337846549907
"60",8.64443206341374
"61",7.96886974510428
"62",10.1105923173288
"63",9.83582662289244
"64",12.1279691652817
"65",12.1779324535404
"66",8.77865388200665
"67",11.1055852537851
"68",14.5558420295935
"69",12.3089392048306
"70",11.3161711760052
"71",12.5063777192976
"72",7.33913806913626
"73",11.2300321920540
"74",16.1202854869711
"75",9.63762719113203
"76",10.1430487043841
"77",12.0625991872130
"78",10.029512404788
"79",11.7000912295110
"80",12.1699171209972
"81",15.5825337437121
"82",10.5086268203133
"83",14.1447706609246
"84",16.639320930192
"85",10.5664124059835
"86",13.0104260490283
"87",11.7239725957021
"88",9.17102729173371
"89",10.2096179779337
"90",8.49056135991304
"91",12.2942084083176
"92",13.5522077469112
"93",13.3995973437579
"94",11.8708888430891
"95",10.2344288536154
"96",11.734115272009
"97",11.3138914032380
"98",15.0140798737319
"99",9.32434451419159
"100",11.5432421589239
