"","mdstpadj"
"1",8.55375631373902
"2",7.97993309030842
"3",7.05424489106819
"4",7.47891220768195
"5",7.59040730387106
"6",7.61612881809673
"7",7.45800426528817
"8",8.5456079982828
"9",9.19289610544013
"10",8.11206415216468
"11",7.75026531312763
"12",8.26458711353013
"13",8.0041950538426
"14",9.04006677187745
"15",9.25430448691883
"16",10.1847155207611
"17",7.72079051163207
"18",9.72355091545451
"19",7.75870611571376
"20",6.98323245476784
"21",8.10117287710762
"22",6.62516427301896
"23",8.64218499596958
"24",9.2936755554606
"25",8.04035414062037
"26",8.47426467888538
"27",8.48233960937332
"28",7.1014251435887
"29",8.01254900822955
"30",7.23171489301165
"31",6.85990654593665
"32",7.80812609291416
"33",8.82004436374462
"34",8.9957028193713
"35",7.51368883344993
"36",8.94994734093916
"37",8.30668095485571
"38",7.73192031978166
"39",7.66026220843457
"40",7.2525489735406
"41",7.95618375450537
"42",7.08846413018734
"43",9.18205816511454
"44",7.85711107105938
"45",7.14848835102218
"46",8.27495183998905
"47",7.07696243979988
"48",8.15052604255685
"49",8.22107419561635
"50",8.61731739766758
"51",8.22418807420957
"52",8.4870058353299
"53",8.35109776357914
"54",9.12248172703273
"55",8.05200520130966
"56",7.71650495306056
"57",8.23953636663789
"58",7.15915580453798
"59",8.93627731820432
"60",8.80631804659892
"61",7.94081636507224
"62",8.43555424609775
"63",8.41479856823601
"64",9.03571900616562
"65",8.43853465168235
"66",7.48431905324644
"67",7.09495561061226
"68",7.66576293090684
"69",9.02581670395287
"70",8.92376201174774
"71",7.77587144840515
"72",6.32772926666006
"73",8.22619430688579
"74",7.4129233166164
"75",6.89600620025079
"76",9.4518769910294
"77",8.08906044744211
"78",7.27800643670322
"79",7.84231765160064
"80",7.55253012149901
"81",7.23050802583622
"82",9.71200440428292
"83",7.16405279482201
"84",8.0112323197969
"85",7.01238860039199
"86",7.7937881964954
"87",9.53595014195272
"88",8.94427154198129
"89",8.01119703304804
"90",7.44679869534056
"91",9.13948371645918
"92",8.4670537979339
"93",7.74011856541806
"94",8.28569303779624
"95",7.50312952935682
"96",8.68015546225134
"97",6.61231409280294
"98",8.15326677744817
"99",8.55822282669884
"100",7.42572722169031
