"","mdstpadj"
"1",35.8960012776791
"2",38.5755873415355
"3",34.8422978098187
"4",30.7466293161657
"5",33.4290251585249
"6",37.3584975951629
"7",27.6670320483387
"8",35.9409816621584
"9",36.3620080669253
"10",25.7107786082158
"11",32.0441889917916
"12",38.1915721999075
"13",39.333769759245
"14",36.4759053189951
"15",35.6768406836171
"16",28.7225210163996
"17",31.5560635468942
"18",38.5011805019773
"19",23.2479112612445
"20",21.8368648934685
"21",25.0348232974176
"22",31.8674309341555
"23",28.7279112571208
"24",28.5202989117165
"25",30.9329777779247
"26",24.4282765373327
"27",36.9660785250672
"28",38.0833078102161
"29",25.2308489456386
"30",58.4713205725308
"31",27.6009825666898
"32",29.5353655819993
"33",29.8830035270077
"34",27.1000419478199
"35",33.1880171885014
"36",43.5984454963503
"37",37.4892752678260
"38",42.6161025004464
"39",22.099375886735
"40",27.7880598917337
"41",27.955021594613
"42",28.6107791108494
"43",30.4707614126864
"44",26.7138818024102
"45",30.1677397623251
"46",22.3376980423492
"47",30.8096935345149
"48",23.86002323382
"49",37.0372829845391
"50",25.4509570385118
"51",33.5757645412501
"52",32.3154139851082
"53",26.9313970200995
"54",47.8852629153173
"55",24.8697615763968
"56",34.402162188612
"57",27.1938505855979
"58",29.7723379595604
"59",25.1929162617678
"60",24.8472988860571
"61",23.4143099040389
"62",26.3987222703184
"63",22.7100280177829
"64",36.8814531767557
"65",28.8024634218088
"66",26.3146304226075
"67",28.5976106656350
"68",33.7121504752212
"69",32.3623069429778
"70",31.0810999972083
"71",29.3771147262981
"72",34.2274203748245
"73",27.0625850763954
"74",39.6923676572270
"75",36.5221526432591
"76",31.0163478694421
"77",32.29883629553
"78",30.3249499229741
"79",38.9815214933599
"80",33.9246663013764
"81",26.1702963692363
"82",24.6301948599404
"83",22.1081839473626
"84",32.9558072678593
"85",38.1068426392666
"86",31.5924620422897
"87",29.7929097619070
"88",36.4967293292164
"89",26.1401686734865
"90",32.9748443354844
"91",28.2648752508382
"92",26.5780102373217
"93",36.9634127004173
"94",35.7752849396369
"95",34.4625493793784
"96",41.6224659087276
"97",31.9494796453524
"98",45.1739789409969
"99",32.631500335904
"100",43.1847301973934
