"","tp"
"1",0.0297114920580704
"2",0.0314121100853104
"3",0.0314200590909625
"4",0.0157737468899920
"5",0.0179542480391603
"6",0.0234373226631659
"7",0.0146820873702941
"8",0.0150293492684702
"9",0.0192736463057792
"10",0.0920622274412864
"11",0.0312432617834599
"12",0.0181611427551248
"13",0.0150056839363894
"14",0.0147088711841208
"15",0.0272794253175623
"16",0.0206698907040181
"17",0.0148616162762149
"18",0.0157578622576780
"19",0.0144246639638706
"20",0.0173584111493833
"21",0.0266636042181858
"22",0.0249089757029185
"23",0.0149904919726090
"24",0.0216733192940016
"25",0.0146551282569431
"26",0.0166965438498671
"27",0.0223166828186852
"28",0.0151673338703922
"29",0.0149174154629448
"30",0.0243792764293983
"31",0.0157133113459640
"32",0.0233724556403736
"33",0.02560726633528
"34",0.0294753326103201
"35",0.0342390752862760
"36",0.0211231649033055
"37",0.0209938579936
"38",0.0191432277678486
"39",0.0188546660849903
"40",0.0153085012615046
"41",0.0395866008511854
"42",0.0160033451126128
"43",0.0143188061644334
"44",0.0281868912003785
"45",0.0152564867696535
"46",0.0184382583604942
"47",0.0153102387006820
"48",0.0576221821021788
"49",0.0141644566465327
"50",0.0139967475393716
"51",0.0279020666411565
"52",0.0192767515109372
"53",0.0225188257416117
"54",0.0170545239507371
"55",0.0552147244244757
"56",0.0160731188114267
"57",0.0146454351711266
"58",0.0169095342494367
"59",0.0150781042648149
"60",0.0147879682362463
"61",0.0287547319592032
"62",0.0140183948819923
"63",0.0204864444706671
"64",0.0233466545364642
"65",0.0225070603438465
"66",0.0280106887502167
"67",0.018023181997409
"68",0.0213722348279566
"69",0.02046881308834
"70",0.0187893372418079
"71",0.0237559955894749
"72",0.0137136607727743
"73",0.0251570136767868
"74",0.0286601491863482
"75",0.0154656126981965
"76",0.0213449335427668
"77",0.0283805694311222
"78",0.0167977773180325
"79",0.0208801874863817
"80",0.0138091549514385
"81",0.0265484192270854
"82",0.0149408468783694
"83",0.0182131096394159
"84",0.0265597138473816
"85",0.0154267944424469
"86",0.0199174280011199
"87",0.0286512436905921
"88",0.0211690353505680
"89",0.0451297100978213
"90",0.0171383424171508
"91",0.0164349025916495
"92",0.0437586681917768
"93",0.0210587449175021
"94",0.0358105082830026
"95",0.0200488230242779
"96",0.0498155195810414
"97",0.0137664588748259
"98",0.0209589418080083
"99",0.0270206841102579
"100",0.022417156378092
"101",0.0217746531850640
"102",0.0182045269735843
"103",0.017567694106329
"104",0.0296359719443283
"105",0.0489496550684419
"106",0.0139481589288233
"107",0.0225246677097589
"108",0.02133183946359
"109",0.0189043906101322
"110",0.0216914324915220
"111",0.0193071023516454
"112",0.0179798643286708
"113",0.0545091588305597
"114",0.0195721333616707
"115",0.0608606609155049
"116",0.0314327396870422
"117",0.0296015718290450
"118",0.0228218711077632
"119",0.0211768293891154
"120",0.0268413110670380
"121",0.0155319890907290
"122",0.0192799287970309
"123",0.0200285723497190
"124",0.048895207076781
"125",0.0156161188170450
"126",0.0219392841607437
"127",0.0146281804357796
"128",0.0224805948969894
"129",0.0282826610224255
"130",0.0875925686138652
"131",0.0255128747944988
"132",0.0142684897478051
"133",0.0207214679588611
"134",0.022127434371686
"135",0.0185701954789609
"136",0.015114022232169
"137",0.0280467211175516
"138",0.0207029368860047
"139",0.0159188725391796
"140",0.033099214072114
"141",0.0148918864168060
"142",0.0281234298329894
"143",0.0186065583325910
"144",0.0214508477867913
"145",0.0141501879261756
"146",0.0204016470678694
"147",0.0595153336952872
"148",0.0200581304779552
"149",0.0148757966690806
"150",0.0184749776523786
"151",0.0198465417818052
"152",0.0304670377929962
"153",0.0261169525975682
"154",0.0293872253164062
"155",0.016101305141367
"156",0.0281399368547418
"157",0.0148135428167112
"158",0.0236122115488485
"159",0.0158962791884465
"160",0.0255296967519004
"161",0.0174788152510221
"162",0.0223174255072659
"163",0.0205094697965153
"164",0.0157461121124104
"165",0.0198098403403565
"166",0.0141785049851622
"167",0.0353933496031197
"168",0.0214055459881580
"169",0.0361045455859847
"170",0.0217444299010378
"171",0.0151606793696584
"172",0.0176988986871867
"173",0.0167024732750298
"174",0.0158088779954828
"175",0.0223361674549133
"176",0.0143942225468785
"177",0.0203532679452316
"178",0.0354080712558046
"179",0.0173098667139478
"180",0.0154027149176735
"181",0.0180444185631451
"182",0.0161487728470566
"183",0.0171017145438237
"184",0.0198554658463341
"185",0.0167153054569261
"186",0.0140347812945498
"187",0.0215962571501171
"188",0.0214073670409884
"189",0.0245598498000787
"190",0.0148776136331220
"191",0.0331090873892712
"192",0.0156319807255134
"193",0.0379135934284538
"194",0.0201184949524095
"195",0.0261847146156298
"196",0.0175546883953109
"197",0.0181771896997687
"198",0.0217530845848000
"199",0.0141211300179699
"200",0.0162572996265706
"201",0.0269386629951792
"202",0.0223382261356139
"203",0.0179502759254724
"204",0.0141890908978990
"205",0.0179091591087759
"206",0.0540350430860924
"207",0.0193703183806022
"208",0.0726319168177622
"209",0.0158155723443088
"210",0.0188128502828648
"211",0.0259632660535397
"212",0.0215584707621462
"213",0.0160341907527322
"214",0.0166340359468927
"215",0.0169428097319299
"216",0.0158036414668879
"217",0.0175764917869104
"218",0.0160665836079051
"219",0.0237681598488650
"220",0.0183818577330644
"221",0.0403618684562601
