"","tp"
"1",0.0228743697144129
"2",0.0245884476531229
"3",0.0172813700839667
"4",0.0186043806006971
"5",0.0276284401576232
"6",0.0250847535999050
"7",0.072172206356195
"8",0.0421102217824626
"9",0.0447753248861011
"10",0.070994558534675
"11",0.0328607479448420
"12",0.0189402448499210
"13",0.0280763714809827
"14",0.0311578293120514
"15",0.0351165287853846
"16",0.0350171510761753
"17",0.0434192792662241
"18",0.0316239189771819
"19",0.0198873350955069
"20",0.0653505452539936
"21",0.0213107777274234
"22",0.0666827375612337
"23",0.0428522884890489
"24",0.0563766437457773
"25",0.0302666130490190
"26",0.0187848380061477
"27",0.0437946314959618
"28",0.0329177119618112
"29",0.0208832669586712
"30",0.0366039347562717
"31",0.0193047005714236
"32",0.0441987775920089
"33",0.0663054094341555
"34",0.0303501775961042
"35",0.0170852050683485
"36",0.0615004775626157
"37",0.0206044403289017
"38",0.0350007258493143
"39",0.017646103738171
"40",0.0194209937394808
"41",0.0616814861124137
"42",0.0643791387260421
"43",0.0284689755402485
"44",0.100862924403044
"45",0.0248974078113859
"46",0.0411852595500962
"47",0.0154221140135983
"48",0.0151478549882301
"49",0.0183324944688335
"50",0.0372415310571256
"51",0.0403727866023691
"52",0.0200358754109943
"53",0.0193867755719076
"54",0.0517246955030808
"55",0.0677535899087978
"56",0.0262044003994537
"57",0.0280729735326515
"58",0.0326491674912758
"59",0.0292946929709667
"60",0.0692007808594717
"61",0.0490630037416278
"62",0.0812012478792047
"63",0.0464971169794660
"64",0.0295202897329548
"65",0.0390985064213406
"66",0.0238658348237326
"67",0.0394665833366243
"68",0.0424748778932872
"69",0.041656491362211
"70",0.0623782938663554
"71",0.0633467346885048
"72",0.0250893717779058
"73",0.037365865330212
"74",0.0659197890400254
"75",0.138268521867691
"76",0.0341462227215699
"77",0.0168766463392742
"78",0.0325955118379265
"79",0.0215167442984174
"80",0.0210202678408844
"81",0.0225665200597996
"82",0.0149388202550872
"83",0.0322051867724378
"84",0.0223743061005985
"85",0.102406370081727
"86",0.0707580264107592
"87",0.0243874125293235
"88",0.0147063829315040
"89",0.0343992505923742
"90",0.0879767377097688
"91",0.067963707622465
"92",0.0245711903754687
"93",0.0212290585633532
"94",0.0255050815478582
"95",0.0342579244444834
"96",0.0271845577800582
"97",0.040267342875087
"98",0.0264329999248375
"99",0.0285389742576011
"100",0.0270265352788594
"101",0.0308663199056095
"102",0.052921921405326
"103",0.0762854817574414
"104",0.0188747842153616
"105",0.0261641860577414
"106",0.0231801729097897
"107",0.0292823755681202
"108",0.0199137400334353
"109",0.0394276316861482
"110",0.0240475749893245
"111",0.0293804535612842
"112",0.0195572537297189
"113",0.0526484413896324
"114",0.100973589049244
"115",0.0275404106465217
"116",0.0334681994390427
"117",0.0931302346673837
"118",0.0216525757952320
"119",0.0891656435539429
"120",0.0378533609683781
"121",0.0197334712535116
"122",0.0168644341709165
"123",0.0430359371996181
"124",0.086939070545655
"125",0.0232990693458043
"126",0.0157332528178943
"127",0.0260303123325360
"128",0.0338018021026073
"129",0.0265538070809992
"130",0.0284020787597144
"131",0.138133587956618
