"","tpmapped"
"1",0.00296880378744998
"2",0.0040170446166573
"3",0.00505253422414115
"4",0.00383612258380039
"5",0.00492987556318969
"6",0.00468852197408743
"7",0.00316615838584148
"8",0.00433491011060473
"9",0.00340870827022867
"10",0.00377854409721653
"11",0.00416652479029398
"12",0.00413807967695589
"13",0.00351404709558261
"14",0.00297388127945143
"15",0.00376388952784424
"16",0.00322695925102021
"17",0.00290875316708169
"18",0.00414201133828948
"19",0.00411294850715822
"20",0.00541023956105477
"21",0.00383387749339339
"22",0.00456402411738719
"23",0.00404646942517929
"24",0.00271876767940047
"25",0.00400887398066088
"26",0.00409157369316442
"27",0.0043501600887987
"28",0.00462307787024074
"29",0.00484939671340391
"30",0.00323707756688684
"31",0.00406276198466112
"32",0.00389547830999895
"33",0.00430423455332142
"34",0.00443483760701724
"35",0.00377278453938036
"36",0.00442173822469393
"37",0.00410867095003796
"38",0.00365904637587998
"39",0.00330151439566955
"40",0.00459343874635146
"41",0.00458927897817282
"42",0.0040445747128863
"43",0.00469879216713557
"44",0.00444488818203847
"45",0.00302206984350197
"46",0.00395915792316327
"47",0.00458666962169792
"48",0.00344351736836936
"49",0.00365458355890089
"50",0.00392949855490544
"51",0.00365005318191477
"52",0.0022018913897261
"53",0.00316051936290354
"54",0.0054607529895707
"55",0.0053971925264207
"56",0.00482893528116439
"57",0.00443051789622243
"58",0.00309831442585297
"59",0.00382454987597498
"60",0.00451761032228491
"61",0.00361400568718055
"62",0.00404749202111878
"63",0.00348952024006136
"64",0.00401580913699046
"65",0.00443116619156435
"66",0.00456413760711582
"67",0.00327384218530692
"68",0.00297583501402498
"69",0.0034738795350471
"70",0.00400946701821825
"71",0.00359441898944825
"72",0.00453538016666984
"73",0.00364028888881972
"74",0.00425033850651303
"75",0.00345521306224101
"76",0.00491658655403581
"77",0.00469011638034544
"78",0.00406138466980056
"79",0.00482466468521276
"80",0.00554955653022397
"81",0.00447968708063896
"82",0.0040237425660021
"83",0.00372146139646025
"84",0.00529811140497261
"85",0.00549928201244014
"86",0.00369838008995247
"87",0.00471116909937786
"88",0.00444460785612926
"89",0.00461972035425425
"90",0.00375079428320940
"91",0.00450903803387743
"92",0.00435579358369845
"93",0.00237735154223685
"94",0.00416068171595569
"95",0.00688977948842186
"96",0.00330713759373197
"97",0.00321602366410771
"98",0.00352022447011796
"99",0.0044141795433542
"100",0.00449604835605032
"101",0.00406962076944244
"102",0.0035794900003148
"103",0.00417140102712604
"104",0.00493487126255134
"105",0.00355442219239664
"106",0.00465537985030908
"107",0.0033758332748469
"108",0.00291411298499339
"109",0.00455893292616174
"110",0.00408327101031719
"111",0.0037428405747672
"112",0.00437902435649516
"113",0.00321765726898788
"114",0.00468786918136447
