"","mapped"
"1",0.00355129891562259
"2",0.00370726997806528
"3",0.00428264773175402
"4",0.00358427410750100
"5",0.00385267382540599
"6",0.00477737313215514
"7",0.00348987624153701
"8",0.00580314261756389
"9",0.00456873528754414
"10",0.00512227045853176
"11",0.00276662463807792
"12",0.00807821352773075
"13",0.00323099393258165
"14",0.00491138083996691
"15",0.00414484982593808
"16",0.00327480996031018
"17",0.0027413817882207
"18",0.00482830767446282
"19",0.00308943138960669
"20",0.0048791100503775
"21",0.00372395078999148
"22",0.00716375687631745
"23",0.00390737308262697
"24",0.00199381893904914
"25",0.00325485767088154
"26",0.00495420542913357
"27",0.0044280019014367
"28",0.00482979933088719
"29",0.00423146613938221
"30",0.00261717190330697
"31",0.00339294120782284
"32",0.00256746033034208
"33",0.00364983717642453
"34",0.00419055771206842
"35",0.00440310403087656
"36",0.00478976539577085
"37",0.0038354372903567
"38",0.00294183508082520
"39",0.0031135876315133
"40",0.00541205443680719
"41",0.00340077945390802
"42",0.0041759990912082
"43",0.00914512513010645
"44",0.00369836459825189
"45",0.00497454740194655
"46",0.00459164309231611
"47",0.00830826586529669
"48",0.00540855248875219
"49",0.00337606120757059
"50",0.00469606749167508
"51",0.00405081835372152
"52",0.00291978507225603
"53",0.00286417692812194
"54",0.00716325831035143
"55",0.00505281117511611
"56",0.00439571838302126
"57",0.00529717413412457
"58",0.00228290982637965
"59",0.0041415041332643
"60",0.00580507368547962
"61",0.00544066321099246
"62",0.00323814744998349
"63",0.00436393845123785
"64",0.00279280449575998
"65",0.00413015244050076
"66",0.00446540843637272
"67",0.00308609342862307
"68",0.00292633257526394
"69",0.00420763652109486
"70",0.00388244568500272
"71",0.00462047997954343
"72",0.0045591068516345
"73",0.00335917099877369
"74",0.00366251206032309
"75",0.00263800319225484
"76",0.00394143474553384
"77",0.00594960134059668
"78",0.00292196567684635
"79",0.00534383403869647
"80",0.00485077014277046
"81",0.00464451791222783
"82",0.00393392718222321
"83",0.00282695994135687
"84",0.00487742254991292
"85",0.00388966892718964
"86",0.00399029903207529
"87",0.00443032632825777
"88",0.00316133939521423
"89",0.00461198012116278
"90",0.00417204156019746
"91",0.00402970862944181
"92",0.0042569334362254
"93",0.00268143145509585
"94",0.00481705148568223
"95",0.00644596183113036
"96",0.00436861786962766
"97",0.00228667954449949
"98",0.00362849633774697
"99",0.00381553348235422
"100",0.00411415531154408
"101",0.00375031805154796
"102",0.00376210555188801
"103",0.00346471996561282
"104",0.00389593277494449
"105",0.00428433639676082
"106",0.00444113863401696
"107",0.00343092396211016
"108",0.00269378395232931
"109",0.00323198439864141
"110",0.00430028934250642
"111",0.00336966346069327
"112",0.00589773815103056
"113",0.00370777066266938
"114",0.00499318120619065
"115",0.00577614652753709
"116",0.00307555563137435
"117",0.00201534409384351
"118",0.00417159296444827
"119",0.00338154470544991
"120",0.00361380302169971
"121",0.00394380435958478
"122",0.00403434977634415
"123",0.00450334584873483
"124",0.00606746476802157
"125",0.00334352708858616
"126",0.00392206775732116
"127",0.00389954334156424
"128",0.004115550724339
"129",0.00373797160674298
"130",0.00259832002866178
"131",0.00378960295963906
"132",0.00316269483872555
"133",0.00504195421982563
"134",0.00380772154770862
"135",0.00309444659718482
"136",0.00346909831819626
"137",0.00389059881499204
"138",0.00407803949595213
"139",0.00506393219107546
"140",0.00282055557544386
"141",0.00445544351115995
"142",0.0081472082948522
"143",0.00465740606475618
"144",0.00462767784110184
"145",0.00306231811561250
"146",0.00401251578816374
"147",0.00302639987865759
"148",0.00296882856316858
"149",0.00265930850437583
"150",0.00347580182419337
"151",0.00472054649383130
"152",0.00635471156048611
"153",0.00693264322350968
"154",0.00287996176842929
"155",0.00302167154459541
"156",0.00345688023679458
"157",0.00340728902013453
"158",0.00468582665375854
"159",0.00453698910076996
"160",0.00459590348758136
"161",0.00456185041979424
"162",0.00325661335589178
"163",0.00322439171080522
"164",0.00367653601902172
"165",0.00384780640392067
"166",0.00442037484031439
"167",0.00473345318344514
"168",0.00468958447153782
"169",0.00375049455522540
"170",0.00333464340481461
"171",0.00377610742943078
"172",0.00662195750317333
"173",0.00395959369069368
"174",0.00497046783690297
"175",0.00777142775372151
"176",0.00432749340856691
"177",0.00539294053642123
"178",0.00326970589338273
"179",0.00321135580316537
"180",0.00628010107083565
"181",0.00476966844370214
"182",0.00298579508564998
"183",0.00357393103248754
"184",0.00456905102244717
"185",0.00395130619859021
"186",0.00440765853428954
"187",0.00521212573037215
"188",0.00452065167987784
"189",0.00405065127583194
"190",0.00569851159030255
"191",0.00548684240989955
"192",0.00453226005740036
"193",0.00522640770111445
"194",0.0062540370228726
"195",0.00369614337511966
"196",0.00384699583220655
"197",0.00275343365178452
"198",0.00321406735235875
"199",0.00402105945914505
"200",0.00471293401195535
"201",0.0043546161605037
"202",0.00394002000178933
"203",0.00274265630654922
"204",0.00323020545167107
"205",0.00332912013352942
"206",0.00376555255012442
"207",0.00373038032433652
"208",0.00372046904483964
"209",0.00340448233163543
"210",0.00253739038051458
"211",0.0037052247813343
"212",0.00315575547814181
"213",0.00343836398790315
"214",0.00375484388005379
"215",0.00370676556896118
"216",0.00325512738939973
"217",0.00457392578040585
"218",0.00379168829652247
"219",0.00379353169390151
"220",0.00513860987615538
"221",0.00588709338873219
"222",0.00572046529262808
"223",0.0048428451925681
"224",0.00302316599023279
"225",0.00451203565604921
"226",0.00304883808647456
"227",0.00593001215237358
"228",0.00557627256413415
"229",0.00348044459324302
"230",0.0033424220949447
"231",0.00300878657236598
"232",0.00552657474026403
"233",0.00642712334952626
"234",0.00446671980734979
"235",0.00477765125008014
"236",0.00440815285359085
"237",0.00331587325643358
"238",0.00339642755601155
"239",0.00432828576642405
"240",0.00270465845349021
"241",0.0108041333722205
"242",0.00471793831811438
"243",0.00383669172709036
"244",0.00472576288271758
"245",0.00368037581973861
"246",0.00503722462187613
"247",0.00445280037578673
"248",0.00297868374229627
"249",0.00395240077958160
"250",0.00467456074845075
"251",0.00524983399424282
"252",0.00424210257855351
"253",0.00325734407202862
"254",0.00334635927793082
"255",0.00443361338485536
"256",0.0038844378869341
"257",0.00365251047864847
"258",0.004923884068242
"259",0.00573978667804045
"260",0.00513193264002411
"261",0.0037581173579638
"262",0.00379019006109236
"263",0.00308423082409689
"264",0.00468837010727479
"265",0.00419225533247385
"266",0.00390386847589135
"267",0.00479006476032325
"268",0.00340646567933193
"269",0.00427526564079820
"270",0.00616560996525097
"271",0.00354744443108335
"272",0.00342171360452628
"273",0.00304786358894185
"274",0.00441735720154129
"275",0.00286730979366591
"276",0.00292035868555771
"277",0.00352045900980516
"278",0.00371783261393623
"279",0.00400281327147076
"280",0.00496574227120484
"281",0.00457812415766534
"282",0.0054561846327506
"283",0.00285589599541736
"284",0.00644554825223597
"285",0.00349818054617723
"286",0.00443900044378869
"287",0.00214635920802057
"288",0.00313565068074908
"289",0.00323235696307647
"290",0.00472769843501221
"291",0.00259090453025232
"292",0.00232453326854427
"293",0.00310071282943772
"294",0.00481273178932819
"295",0.00467531475163622
"296",0.00357483151190198
"297",0.00418235226166535
"298",0.00431066682242055
"299",0.00382784080627406
"300",0.00443502062943966
"301",0.0019470873703472
"302",0.00411180132574852
"303",0.0028915552084962
"304",0.00384964174880652
"305",0.00455865770805862
