0.04887,-1.226e-11,8.7163e-18
0.098208,-1.6323e-11,1.0332e-15
0.14846,6.1005e-11,8.4556e-14
0.20004,-2.4015e-11,4.778e-12
0.25332,-8.4926e-11,1.8642e-10
0.30865,-2.8677e-11,5.0218e-09
0.36633,-5.9268e-11,9.3406e-08
0.42666,1.0653e-10,1.1996e-06
0.48989,-6.8827e-10,1.0638e-05
0.55624,1.0562e-09,6.5171e-05
0.6259,1.5704e-08,0.00027617
0.69898,-5.4634e-11,0
0.77554,4.5577e-10,0
0.85561,-2.7042e-09,0
0.93911,-3.8336e-11,0
1.0259,-7.8353e-10,0
1.1159,-4.0258e-10,0
1.2088,-1.5951e-10,0
1.3045,1.5309e-10,0.028954
1.4026,6.3857e-10,0.029829
1.503,-5.2238e-10,0.030978
1.6054,1.8383e-09,0.033961
1.7097,1.5802e-08,0.036958
1.8157,1.4795e-09,0.040827
1.9234,1.7678e-09,0.05123
2.0327,2.9692e-09,0.072668
2.1434,4.6302e-09,0.10202
2.2555,2.586e-09,0.12999
2.3687,3.0958e-09,0.15038
2.483,5.5313e-09,0.16647
2.598,3.3278e-09,0.18556
2.7135,-6.5126e-09,0.21253
2.8289,-5.0267e-09,0.25156
2.9441,1.9457e-08,0.30453
3.0587,-7.7731e-09,0.36405
3.1724,2.0924e-11,0.41438
3.2849,5.1057e-10,0.44114
3.3963,1.8975e-09,0.44264
3.5064,3.119e-09,0.43094
3.6152,4.3293e-09,0.41615
3.7228,5.5357e-09,0.39813
3.8293,6.5762e-09,0.37697
3.9348,7.858e-09,0.3548
4.0395,9.0445e-09,0.32894
4.1436,1.025e-08,0.29913
4.2473,1.149e-08,0.27428
4.3507,1.2773e-08,0.26104
0.048668,0.045195,1.6525e-17
0.097816,0.045843,1.9587e-15
0.14789,0.046888,1.603e-13
0.19931,0.048295,9.0581e-12
0.25245,0.050031,3.5341e-10
0.30764,0.052071,9.5203e-09
0.3652,0.054389,1.7708e-07
0.42542,0.05696,2.2742e-06
0.48855,0.059753,2.0169e-05
0.55483,0.062731,0.00012355
0.62444,0.065849,0.00052333
0.69749,0.069057,0
0.77405,0.0723,0
0.85414,0.075518,0
0.93769,0.078655,0
1.0246,0.081658,0
1.1147,0.084484,0
1.2077,0.087102,0
1.3034,0.089497,0.028364
1.4017,0.091673,0.027457
1.5021,0.093646,0.027999
1.6046,0.095446,0.032328
1.7089,0.09711,0.038551
1.815,0.098668,0.046763
1.9228,0.10015,0.061145
2.032,0.10155,0.084487
2.1428,0.10287,0.11359
2.2549,0.10407,0.14148
2.3683,0.1051,0.16453
2.4827,0.10591,0.1864
2.5979,0.10645,0.213
2.7134,0.10667,0.24731
2.8291,0.10656,0.29182
2.9444,0.10612,0.3474
3.0591,0.10541,0.40596
3.1728,0.10447,0.45148
3.2855,0.10338,0.47216
3.3968,0.1022,0.47151
3.5069,0.10101,0.4634
3.6157,0.099851,0.45365
3.7232,0.098773,0.4373
3.8297,0.09781,0.41459
3.9351,0.096989,0.39093
4.0398,0.096328,0.36462
4.1438,0.09584,0.33374
4.2474,0.095536,0.30711
4.3507,0.095419,0.2931
0.048054,0.090023,4.306e-17
0.096625,0.091348,3.2908e-15
0.14618,0.093469,2.2775e-13
0.19712,0.09631,1.2714e-11
0.24982,0.099804,4.9596e-10
0.30461,0.1039,1.3361e-08
0.3618,0.10856,2.4852e-07
0.42169,0.11373,3.1919e-06
0.48454,0.11935,2.8308e-05
0.55059,0.12534,0.00017344
0.62003,0.13162,0.00073492
0.69299,0.13809,0
0.76955,0.14462,0
0.84971,0.15111,0
0.93342,0.15742,0
1.0205,0.16347,0
1.1109,0.16915,0
1.2042,0.1744,0
1.3003,0.17918,0.025153
1.3988,0.18352,0.023039
1.4995,0.18744,0.023565
1.6022,0.19101,0.029676
1.7067,0.19431,0.040089
1.8129,0.1974,0.054444
1.9208,0.20035,0.074977
2.0301,0.20317,0.1026
2.141,0.20583,0.13423
2.2534,0.20827,0.1646
2.367,0.21039,0.19084
2.4818,0.21206,0.2159
2.5973,0.21317,0.24587
2.7134,0.21363,0.28468
2.8295,0.21339,0.33327
2.9452,0.21249,0.38878
3.0602,0.21101,0.44177
3.1743,0.20907,0.47951
3.2871,0.20683,0.49622
3.3985,0.20442,0.49912
3.5086,0.20199,0.4995
3.6173,0.19963,0.49673
3.7247,0.19745,0.48143
3.8309,0.1955,0.45426
3.9362,0.19384,0.42497
4.0406,0.19251,0.39554
4.1443,0.19152,0.36314
4.2477,0.19091,0.33394
4.3508,0.19068,0.31598
0.046992,0.1341,1.5543e-13
0.094587,0.13617,3.7485e-12
0.14327,0.13944,1.8509e-11
0.19344,0.14377,2.902e-11
0.24541,0.14906,5.1764e-10
0.29953,0.15526,1.3948e-08
0.3561,0.1623,2.6471e-07
0.41542,0.17011,3.4169e-06
0.47779,0.17862,2.9669e-05
0.54345,0.1877,0.00018043
0.61261,0.19723,0.00076517
0.68542,0.20705,0
0.76196,0.21698,0
0.84225,0.22684,0
0.92622,0.23643,0
1.0137,0.2456,0
1.1045,0.25418,0
1.1984,0.26209,0
1.295,0.26926,0.021655
1.3941,0.27572,0.019613
1.4952,0.28153,0.021344
1.5983,0.28681,0.030118
1.7031,0.29167,0.04542
1.8095,0.29626,0.066458
1.9174,0.30066,0.093542
2.0269,0.30491,0.12626
2.138,0.30898,0.16198
2.2507,0.31275,0.19608
2.3647,0.31606,0.22489
2.4801,0.3187,0.25043
2.5964,0.32046,0.28085
2.7132,0.32118,0.32315
2.8301,0.3208,0.37624
2.9466,0.31935,0.4317
