"","x"
"1",0.00153798045946087
"2",0.00203766093200688
"3",0.00194232615034739
"4",0.00145377513983687
"5",0.00217788432233581
"6",0.00265613505217193
"7",0.0010267816168517
"8",0.00219334936969978
"9",0.00119892520710587
"10",0.00182214265855343
"11",0.00111548474461507
"12",0.00136223038744744
"13",0.00187219946766821
"14",0.000797626282532883
"15",0.00242051342457053
"16",0.00199660788328443
"17",0.00194652868344451
"18",0.00178084229143774
"19",0.00143311839853740
"20",0.00229909102929098
"21",0.00189429368996768
"22",0.00237201133900749
"23",0.00112157641362946
"24",0.00132468894796061
"25",0.00159046695103522
"26",0.00176022934676735
"27",0.00212037308363085
"28",0.00211578048227508
"29",0.00280933599610772
"30",0.001031681876187
"31",0.00146940208608471
"32",0.00173377452375947
"33",0.00184183503987410
"34",0.00168666765427182
"35",0.00205332614635331
"36",0.00158378431354385
"37",0.00209812083864732
"38",0.00155453744208247
"39",0.00125142652037472
"40",0.00155688887355241
"41",0.00199651381555436
"42",0.00185618151680192
"43",0.00230548557872409
"44",0.00181028784757420
"45",0.00183273179301112
"46",0.00254751625888083
"47",0.00234872344152082
"48",0.00183526733224939
"49",0.00163460582947008
"50",0.00216372177796224
"51",0.00229674299361293
"52",0.000948720560151461
"53",0.00145905663244694
"54",0.002535468268368
"55",0.00220539701963453
"56",0.00205713050670665
"57",0.00276747895174203
"58",0.00190828899145397
"59",0.00153139075927282
"60",0.00116125182049944
"61",0.00210221857382604
"62",0.00260194301668466
"63",0.00126786170497307
"64",0.00157682702130126
"65",0.00190546982259377
"66",0.00185704933720070
"67",0.000906202132692289
"68",0.00162950601528852
"69",0.00183860284880032
"70",0.0020925168634985
"71",0.00108462303829130
"72",0.00160601702522371
"73",0.00159360516020350
"74",0.00116161138985418
"75",0.00150168847820653
"76",0.00182671440241269
"77",0.00206263205209314
"78",0.00126278802646958
"79",0.00182873939504811
"80",0.00246974945036674
"81",0.00207750863780159
"82",0.00188027431316642
"83",0.00161619421542333
"84",0.00193314240044336
"85",0.00155002830311217
"86",0.00146067715317688
"87",0.00253011835243857
"88",0.0017187569231197
"89",0.00178292324819053
"90",0.00196386849228002
"91",0.00201873684886448
"92",0.00188253449970025
"93",0.00153701385867393
"94",0.00134873204040114
"95",0.00351821137283591
"96",0.00190263040958440
"97",0.0018437174841154
"98",0.00218028476918522
"99",0.00142339644667367
"100",0.00198459292733392
"101",0.00162763787900475
"102",0.00117281442272405
"103",0.00183784050824968
"104",0.00151390455263420
"105",0.00183277148988573
"106",0.00192058271815185
"107",0.00126684807749036
"108",0.00120181622873257
"109",0.00148453441307426
"110",0.00143567078086982
"111",0.00252095079396672
"112",0.00185797480999801
"113",0.00141426146936048
"114",0.00207776076094472
"115",0.00204451359724503
"116",0.000788696496558586
"117",0.00252010941239202
"118",0.00155124958579440
"119",0.00173978532410525
"120",0.0012754518056999
"121",0.00202682553932873
"122",0.00209492408097637
"123",0.00205673697738322
"124",0.00261582979669374
"125",0.00109801954708869
"126",0.00133028989610513
"127",0.00261842456902571
"128",0.00134393725973708
"129",0.00080353922612054
"130",0.00176898685294011
"131",0.00147878758899127
"132",0.00160680161072580
"133",0.00202713549393622
"134",0.00188751718597925
"135",0.00167849613231926
"136",0.00104067491164572
"137",0.00131221353210510
"138",0.00187193170371033
"139",0.00252404478118260
"140",0.00149957948715796
"141",0.00168866068468074
"142",0.00279435604507156
"143",0.00217236619951605
"144",0.00163689463899744
"145",0.00182374195906134
"146",0.00176363114522487
"147",0.00124584920038854
"148",0.00086595865402427
"149",0.00134145397862951
"150",0.00178007918147391
"151",0.00149973205655324
"152",0.00161769786918064
"153",0.00254463501124737
"154",0.00219632805729539
"155",0.00292392515101341
"156",0.00178946088382212
"157",0.00155861133850204
"158",0.00201924254942616
"159",0.00257580077023579
"160",0.00166728141117121
"161",0.00130328529385944
"162",0.00156582778028978
"163",0.00160268585746517
"164",0.00255491632792253
"165",0.00258702894124325
"166",0.00254918106344356
"167",0.00244495697428080
"168",0.00211009715883644
"169",0.00123537344686285
"170",0.00158751571046705
"171",0.00169684100550683
"172",0.00198648456936947
"173",0.00166267136163881
"174",0.00172830655729073
"175",0.00254102624572783
"176",0.000775078385291264
"177",0.00278202936659190
"178",0.00205842932659231
"179",0.00159699102609519
"180",0.00332647945210484
"181",0.00173630539831762
"182",0.00172255726577047
"183",0.00124950980920318
"184",0.00126178662226566
"185",0.00249688918222923
"186",0.00289178169395721
"187",0.0026580700447697
"188",0.00150756665959523
"189",0.00223161639629888
"190",0.00199320462498847
"191",0.00198923702128466
"192",0.00166081938386323
"193",0.00103118345255871
"194",0.00190317512686329
"195",0.00206885189708452
"196",0.00235259196277806
"197",0.00151021807112606
"198",0.00165430346989390
"199",0.00174168801800119
"200",0.00194033885284809
"201",0.00233254177486498
"202",0.00174535118974915
"203",0.00152447408035093
"204",0.00113518870517085
"205",0.00184847288584371
"206",0.00162453339165771
"207",0.00255074370608746
"208",0.00177163868654906
"209",0.00174884784021062
"210",0.00123615179008229
"211",0.00206899657251807
"212",0.000659978325248661
"213",0.00169816460885941
"214",0.00107110639241102
"215",0.00161399335353971
"216",0.00192245927158645
"217",0.00236895240548426
"218",0.00268445593940179
"219",0.00109447795635314
"220",0.00236254898000568
"221",0.0020922034444658
"222",0.00208700781355988
"223",0.00252897407759143
"224",0.00172032438629231
"225",0.00141624599637080
"226",0.00170637553075769
"227",0.00226659119281717
"228",0.00262011982093496
"229",0.00182827827437206
"230",0.00222296982760585
"231",0.00175852635667550
"232",0.00214940008994227
"233",0.00192742966072538
"234",0.00160488985295481
"235",0.00205836336643578
"236",0.00131124200903075
"237",0.00135326695289557
"238",0.00267162548046826
"239",0.00174262203860828
"240",0.00115999418718516
"241",0.00281258863841604
"242",0.00192677435863708
"243",0.00155120647961332
"244",0.00339316003351304
"245",0.00174196529827021
"246",0.00116725913253424
"247",0.00203270297042495
"248",0.00153183660871258
"249",0.00191961411470446
"250",0.00264024086356013
"251",0.00226179797319018
"252",0.00291367716939894
"253",0.00308842017242854
"254",0.00186819426671434
"255",0.00111889270199719
"256",0.00151651784309407
"257",0.00140359566010496
"258",0.00179121831423457
"259",0.00232133758282829
"260",0.00263211666786884
"261",0.00142186405272866
"262",0.00160698891877295
"263",0.00157595568167494
"264",0.00214692699412171
"265",0.00149165667487837
"266",0.0013294883649534
"267",0.00218044133914666
"268",0.00191497136662706
"269",0.00195197366131983
"270",0.00204129716092653
"271",0.00283301686289687
"272",0.00212511404568681
"273",0.00151626823929089
"274",0.00117378294328945
"275",0.00114529252290652
"276",0.00136723069815455
"277",0.00121295398508715
"278",0.00158704134664280
"279",0.00205997771936772
"280",0.00172786145354575
"281",0.00180397031345343
"282",0.00234261136752582
"283",0.00138136602934965
"284",0.00229063212460402
"285",0.00125790200192012
"286",0.00227575939030512
"287",0.00103144201370648
"288",0.0018195611508167
"289",0.00207659596749943
"290",0.00172563290528650
"291",0.00150147149756198
"292",0.00130833280629527
"293",0.0016079562756214
"294",0.00156013600995137
"295",0.00227555697102428
"296",0.00197326069173087
"297",0.00178762022916367
"298",0.00216497141552718
"299",0.00173284092091367
"300",0.00169866959135912
"301",0.00102349517474785
"302",0.00135741930642644
"303",0.00125878596437410
"304",0.00247896944960394
"305",0.00252735439572023
"306",0.00191831400379103
"307",0.00132028164634859
"308",0.00202017671418175
"309",0.00135462073439458
"310",0.00155641859366694
"311",0.00169374993996205
"312",0.00238809179011085
"313",0.00131132247048226
"314",0.00227929819809104
"315",0.00128908209479598
"316",0.00221663827432837
"317",0.00126287864942414
"318",0.00414524346061276
"319",0.00221241651242716
"320",0.00184540187663938
"321",0.000886437144331884
"322",0.00191161940104809
"323",0.00122205173571656
"324",0.00262210105634873
"325",0.00179095828380787
"326",0.00202528500661424
"327",0.00252971246423302
"328",0.00146629014297466
"329",0.00258651233210972
"330",0.00140342578025052
"331",0.00155168535813045
"332",0.00127470641392795
"333",0.00159620915413159
"334",0.00273035225544421
