"","V1","V2","V3","V4"
"135","0.35","68","edf","59.515294928839"
"136","0.35","68","mse","61.9772330918529"
"137","0.35","69","edf","65.468050292562"
"138","0.35","69","mse","69.2850065942105"
"139","0.35","70","edf","64.712500746698"
"140","0.35","70","mse","127.263380830938"
"141","0.35","71","edf","62.8480224543898"
"142","0.35","71","mse","89.5530036002121"
"143","0.35","72","edf","74.3472755187621"
"144","0.35","72","mse","81.0463794551338"
"145","0.35","73","edf","58.8911148871824"
"146","0.35","73","mse","109.202867672287"
"147","0.35","74","edf","61.4909846444573"
"148","0.35","74","mse","102.432055159031"
"149","0.35","75","edf","60.4651488391739"
"150","0.35","75","mse","80.0488844471503"
"151","0.35","76","edf","61.8030828699997"
"152","0.35","76","mse","99.7504383194774"
"153","0.35","77","edf","57.9323033293178"
"154","0.35","77","mse","94.464383738685"
"155","0.35","78","edf","62.6684514750734"
"156","0.35","78","mse","101.192753142235"
"157","0.35","79","edf","66.7815258934748"
"158","0.35","79","mse","98.6305517978927"
"159","0.35","80","edf","59.7528343523714"
"160","0.35","80","mse","100.768612927917"
"161","0.35","81","edf","57.5308307616383"
"162","0.35","81","mse","85.2885238427346"
"163","0.35","82","edf","68.9556958058235"
"164","0.35","82","mse","83.3040040034829"
"165","0.35","83","edf","65.403415143213"
"166","0.35","83","mse","72.0504683899484"
"167","0.35","84","edf","58.9036661739578"
"168","0.35","84","mse","123.398288724459"
"169","0.35","85","edf","62.2999922815346"
"170","0.35","85","mse","81.9980831101323"
"171","0.35","86","edf","60.7561626079342"
"172","0.35","86","mse","107.007773303016"
"173","0.35","87","edf","61.2838988192437"
"174","0.35","87","mse","73.9994655985719"
"175","0.35","88","edf","62.6477686422343"
"176","0.35","88","mse","76.2579022088447"
"177","0.35","89","edf","60.1327676833844"
"178","0.35","89","mse","104.761031102225"
"179","0.35","90","edf","60.6332233027503"
"180","0.35","90","mse","101.846326427233"
"181","0.35","91","edf","58.594619182409"
"182","0.35","91","mse","56.2239643094593"
"183","0.35","92","edf","68.4523402726299"
"184","0.35","92","mse","88.1959092887823"
"185","0.35","93","edf","57.2425079601838"
"186","0.35","93","mse","87.3053940464211"
"187","0.35","94","edf","64.0403705111006"
"188","0.35","94","mse","84.6193776759021"
"189","0.35","95","edf","62.889183217653"
"190","0.35","95","mse","73.4458713834894"
"191","0.35","96","edf","62.4341769995424"
"192","0.35","96","mse","70.9385326738137"
"193","0.35","97","edf","66.346807204864"
"194","0.35","97","mse","80.9046461762075"
"195","0.35","98","edf","61.7911364051227"
"196","0.35","98","mse","85.9831529011133"
"197","0.35","99","edf","60.5358878138804"
"198","0.35","99","mse","90.2833163541"
"199","0.35","100","edf","57.9806305949516"
"200","0.35","100","mse","81.7588338311889"
"201","0.35","101","edf","62.7425664929167"
"202","0.35","101","mse","88.0004432633164"
"203","0.35","102","edf","58.4288562515063"
"204","0.35","102","mse","130.421079248055"
"205","0.35","103","edf","65.312011633627"
"206","0.35","103","mse","125.591852976052"
"207","0.35","104","edf","64.0113329920057"
"208","0.35","104","mse","128.538690546671"
"209","0.35","105","edf","60.6079474335712"
"210","0.35","105","mse","99.879276158231"
"211","0.35","106","edf","58.7662299332454"
"212","0.35","106","mse","85.9408233567873"
"213","0.35","107","edf","60.6539890600201"
"214","0.35","107","mse","82.1786338520242"
"215","0.35","108","edf","62.7701076936176"
"216","0.35","108","mse","113.118997640018"
"217","0.35","109","edf","62.3871214526706"
"218","0.35","109","mse","70.832597351189"
"219","0.35","110","edf","69.023585387147"
"220","0.35","110","mse","98.4801063481818"
"221","0.35","111","edf","65.96414680448"
"222","0.35","111","mse","77.1269144960213"
"223","0.35","112","edf","56.9044357179626"
"224","0.35","112","mse","102.33931794333"
"225","0.35","113","edf","64.4721111131051"
"226","0.35","113","mse","101.151429438679"
"227","0.35","114","edf","65.3185549705391"
"228","0.35","114","mse","73.9245548731467"
"229","0.35","115","edf","58.5193550441195"
"230","0.35","115","mse","143.176067538558"
"231","0.35","116","edf","59.4103765461793"
"232","0.35","116","mse","82.9450561248106"
"233","0.35","117","edf","59.1586169440474"
"234","0.35","117","mse","76.3152141273824"
"235","0.35","118","edf","58.2964150067027"
"236","0.35","118","mse","84.2667736886936"
"237","0.35","119","edf","63.532592391101"
"238","0.35","119","mse","99.7877200849729"
"239","0.35","120","edf","65.0822197421768"
"240","0.35","120","mse","91.0509001823744"
"241","0.35","121","edf","62.0619422897741"
"242","0.35","121","mse","101.772405444275"
"243","0.35","122","edf","61.8037430315483"
"244","0.35","122","mse","92.8420507294538"
"245","0.35","123","edf","54.3513706550045"
"246","0.35","123","mse","133.785067343841"
"247","0.35","124","edf","58.3241335549141"
"248","0.35","124","mse","120.802738975344"
"249","0.35","125","edf","63.2354621653358"
"250","0.35","125","mse","100.636626351039"
"251","0.35","126","edf","63.3930643342614"
"252","0.35","126","mse","106.254161063096"
"253","0.35","127","edf","60.395038758477"
"254","0.35","127","mse","69.3612858962009"
"255","0.35","128","edf","62.62191821688"
"256","0.35","128","mse","90.7004524593827"
"257","0.35","129","edf","58.526247327711"
"258","0.35","129","mse","138.620050408821"
"259","0.35","130","edf","56.4236930012947"
"260","0.35","130","mse","80.8067936047366"
"261","0.35","131","edf","61.3582216577705"
"262","0.35","131","mse","84.1778415130732"
"263","0.35","132","edf","69.5623046270642"
"264","0.35","132","mse","72.0971066790422"
"265","0.35","133","edf","66.3354630920717"
"266","0.35","133","mse","79.0737003400749"
"267","0.35","134","edf","65.5764972545565"
"268","0.35","134","mse","85.7090472086966"
"269","0.35","135","edf","63.9109604397237"
"270","0.35","135","mse","78.269005223416"
"271","0.35","136","edf","59.7649626979399"
"272","0.35","136","mse","105.772550541101"
"273","0.35","137","edf","64.4330183980098"
"274","0.35","137","mse","85.5397057426633"
"275","0.35","138","edf","62.3478720619719"
"276","0.35","138","mse","147.50142893307"
"277","0.35","139","edf","64.271915962467"
"278","0.35","139","mse","69.058417448735"
"279","0.35","140","edf","66.0376438898921"
"280","0.35","140","mse","133.433492036592"
"281","0.35","141","edf","57.0547730336056"
"282","0.35","141","mse","118.923181516654"
"283","0.35","142","edf","62.0590335775191"
"284","0.35","142","mse","68.2705356041987"
"285","0.35","143","edf","60.2463077560437"
"286","0.35","143","mse","78.0045079448717"
"287","0.35","144","edf","64.9605531221289"
"288","0.35","144","mse","78.4374453255095"
"289","0.35","145","edf","60.4840883112773"
"290","0.35","145","mse","98.9445342062292"
"291","0.35","146","edf","57.1005604583416"
"292","0.35","146","mse","97.664732502322"
"293","0.35","147","edf","54.6248882595078"
"294","0.35","147","mse","116.327392279226"
"295","0.35","148","edf","61.2433131735413"
"296","0.35","148","mse","111.819744324576"
"297","0.35","149","edf","63.2744884872718"
"298","0.35","149","mse","69.339553417451"
"299","0.35","150","edf","59.451230857172"
"300","0.35","150","mse","111.153814667763"
"301","0.35","151","edf","66.7261101841513"
"302","0.35","151","mse","74.5827002160031"
"303","0.35","152","edf","63.1202269435211"
"304","0.35","152","mse","78.1967186989049"
"305","0.35","153","edf","62.9469310480967"
"306","0.35","153","mse","78.4773919270489"
"307","0.35","154","edf","59.3372799890352"
"308","0.35","154","mse","101.395407170492"
"309","0.35","155","edf","60.8943209388086"
"310","0.35","155","mse","79.9826201658711"
"311","0.35","156","edf","67.6970743524882"
"312","0.35","156","mse","77.1831138426786"
"313","0.35","157","edf","64.6397204076647"
"314","0.35","157","mse","62.4366711061262"
"315","0.35","158","edf","63.0246137796115"
"316","0.35","158","mse","90.2249202687453"
"317","0.35","159","edf","67.2417778388147"
"318","0.35","159","mse","129.338745314401"
"319","0.35","160","edf","60.2375458825591"
"320","0.35","160","mse","94.2082756428483"
"321","0.35","161","edf","56.4878370768268"
"322","0.35","161","mse","84.6614435962985"
"323","0.35","162","edf","63.1599914276104"
"324","0.35","162","mse","103.956113935838"
"325","0.35","163","edf","62.4153694411922"
"326","0.35","163","mse","73.3228036514495"
"327","0.35","164","edf","63.2494672001083"
"328","0.35","164","mse","108.238307952954"
"329","0.35","165","edf","61.0467386775896"
"330","0.35","165","mse","121.569153613116"
"331","0.35","166","edf","59.5410604873257"
"332","0.35","166","mse","105.650828042246"
"333","0.35","167","edf","60.624602177029"
"334","0.35","167","mse","66.8863026944981"
"335","0.35","168","edf","64.3299554580348"
"336","0.35","168","mse","84.4760848050649"
"337","0.35","169","edf","62.980194014751"
"338","0.35","169","mse","152.524038699359"
"339","0.35","170","edf","59.6984047068106"
"340","0.35","170","mse","107.726633384563"
"341","0.35","171","edf","61.1437248051651"
"342","0.35","171","mse","73.4166768228578"
"343","0.35","172","edf","63.5760263915424"
"344","0.35","172","mse","81.07791735231"
"345","0.35","173","edf","66.5956894239701"
"346","0.35","173","mse","74.8392637505423"
"347","0.35","174","edf","67.3507555693582"
"348","0.35","174","mse","92.390175565289"
"349","0.35","175","edf","57.5368160123703"
"350","0.35","175","mse","131.116871824365"
"351","0.35","176","edf","60.0152224804347"
"352","0.35","176","mse","91.5794762132343"
"353","0.35","177","edf","64.3594651059852"
"354","0.35","177","mse","108.411447047256"
"355","0.35","178","edf","64.1618937921276"
"356","0.35","178","mse","59.7077304179225"
"357","0.35","179","edf","59.9237104470388"
"358","0.35","179","mse","58.6631162208678"
"359","0.35","180","edf","66.1179881708735"
