"","x"
"1",0.00298042231189466
"2",5.6053096400963
"3",0.00635285786230165
"4",0.00617099522650327
"5",0.0041029086085406
"6",0.00463310088696676
"7",0.00371720026902182
"8",0.00970194399374372
"9",0.00449002285085144
"10",0.00994127519617742
"11",0.00283965689953022
"12",4.30481415445953
"13",5.59428909932697
"14",4.4842538080471
"15",0.00319852792125562
"16",0.00353621003623574
"17",0.00290653545836601
"18",5.60530964009658
"19",0.00531875993353214
"20",0.00653437837795079
"21",0.00367080272315785
"22",0.00585982016411164
"23",0.00467382292390566
"24",0.00197314019328968
"25",0.00329005939642886
"26",0.00409279609715012
"27",0.0109289107214216
"28",0.0095289876429845
"29",0.00432515681579573
"30",0.00862462841398632
"31",0.00586267468675805
"32",0.00261718028165274
"33",0.00391853377189968
"34",0.00410602811544654
"35",0.0259995292087990
"36",0.005797534577796
"37",0.00358251769844414
"38",0.00321486937965239
"39",0.00320699092973035
"40",0.00524475505745222
"41",0.00356790507574323
"42",4.85925332775264
"43",0.0126649420904748
"44",0.00363354412809405
"45",0.00464885130879551
"46",0.00440166224943439
"47",0.00811607536522899
"48",0.00682174664552742
"49",0.00930528846753297
"50",4.91004746171775
"51",0.00398865505774271
"52",5.59222365765886
"53",0.00796883055456428
"54",0.0104051581642511
"55",0.00482820490549244
"56",0.00574724330563877
"57",0.0137620720012653
"58",0.00242992588632713
"59",0.0053911265485645
"60",0.00545740591713548
"61",0.00374007778578919
"62",0.151294226566737
"63",0.00368805462711915
"64",0.00314387203787822
"65",0.0090613838778507
"66",0.00639408506151461
"67",0.00321027496814258
"68",0.00310395499925566
"69",5.02225412898157
"70",0.00402433419488411
"71",0.0115089938030532
"72",0.00546954121436484
"73",0.00908244277204927
"74",0.00384248494577763
"75",0.0029301693657018
"76",0.00573164651427443
"77",0.00559449577901321
"78",0.00675194199027456
"79",0.0047952771521077
"80",0.00618182047716195
"81",0.0042756322834016
"82",0.00840364286338338
"83",0.00285589754918234
"84",0.00522785085971384
"85",4.66457788457434
"86",5.6053096400993
"87",0.00452824114133304
"88",0.00323251909859573
"89",0.00444546811607465
"90",0.00388866086070105
"91",0.00400453833266475
"92",0.00384101413531469
"93",0.00408994203523016
"94",0.0059897207143356
"95",0.00662864439933816
"96",0.0051242060729284
"97",0.00245776813934491
"98",5.57168156762813
"99",0.00575184151476387
"100",0.0083709522966472
"101",0.00380444587743246
"102",0.00421283038915826
"103",0.00337809695392124
"104",0.00571062127854612
"105",4.44303287378053
"106",0.00525009715414024
"107",0.00326740514508712
"108",0.00267085001646840
"109",0.0035667919776693
"110",0.00515583327209608
"111",0.00257603295096984
"112",0.00580473241698501
"113",4.37444004012251
"114",4.61283451323966
"115",0.00584266287913524
"116",0.0050054810337302
"117",0.00218286738158135
"118",0.00709952764393977
"119",0.0070002051296372
"120",0.00361167743170452
"121",0.00382693638658963
"122",0.00409323678854797
"123",0.00435989356761143
"124",0.00664091407372789
"125",5.60530964009547
"126",1.28613360509877
"127",0.00563198363388789
"128",4.39948374558848
"129",0.0117745011732829
"130",0.00268713369029572
"131",0.00800872647984062
"132",5.60530964009601
"133",0.00950394319984123
"134",4.67725752435709
