"x","y","z","inside"
-10,-10,1.91200448656169e-05,0
-9.59183673469388,-10,6.04509046678558e-05,0
-9.18367346938776,-10,0.000137307167381751,0
-8.77551020408163,-10,0.000226966821681489,0
-8.36734693877551,-10,0.000283202004859922,0
-7.95918367346939,-10,0.000294901499920517,0
-7.55102040816327,-10,0.000309683021717908,0
-7.14285714285714,-10,0.000368203643573688,0
-6.73469387755102,-10,0.000454532084849721,0
-6.3265306122449,-10,0.000548416778068145,0
-5.91836734693878,-10,0.000681211446875306,0
-5.51020408163265,-10,0.000893152058949174,0
-5.10204081632653,-10,0.00116109603158565,0
-4.69387755102041,-10,0.00142137964859602,0
-4.28571428571429,-10,0.0016668067967885,0
-3.87755102040816,-10,0.00196225579877708,0
-3.46938775510204,-10,0.00237215081864765,0
-3.06122448979592,-10,0.00293384765007804,0
-2.65306122448980,-10,0.00363210205579815,0
-2.24489795918367,-10,0.00434639493382651,0
-1.83673469387755,-10,0.00491642004570967,0
-1.42857142857143,-10,0.00524653898692305,0
-1.02040816326531,-10,0.00529502394107265,0
-0.612244897959184,-10,0.00509869098297039,0
-0.204081632653061,-10,0.00484607275399513,0
0.204081632653061,-10,0.00473805409318717,0
0.612244897959184,-10,0.0047706608247805,0
1.02040816326531,-10,0.00478689822610296,0
1.42857142857143,-10,0.00467531337849740,0
1.83673469387755,-10,0.00444372601480715,0
2.24489795918367,-10,0.00414828841381124,0
2.65306122448980,-10,0.00381465402435261,0
3.06122448979592,-10,0.00345144304046933,0
3.46938775510204,-10,0.00306434960896177,0
3.87755102040816,-10,0.00264265445175604,0
4.28571428571429,-10,0.00219753091796804,0
4.69387755102041,-10,0.00178048000765997,0
5.10204081632653,-10,0.00144478708444165,0
5.51020408163265,-10,0.00121926090112304,0
5.91836734693878,-10,0.00108610412551771,0
6.3265306122449,-10,0.000965200742429912,0
6.73469387755102,-10,0.000770802485027336,0
7.14285714285714,-10,0.000506398887812356,0
7.55102040816327,-10,0.00026087456351107,0
7.95918367346939,-10,0.000105307813877429,0
