"","mds","mdstp","soap","tprs","mdsmod"
"1",54.1678084124805,0,32.4280895185006,58.1776170868909,63.06970002517
"2",67.9614418452117,0,40.7814361109005,67.9403853017102,72.267520027024
"3",74.4231068915812,0,57.2477235943317,65.6084967173181,72.2291850424287
"4",81.3068426825052,0,49.3356412279804,78.9931276539452,82.0482371832717
"5",78.0272662472532,0,50.5282760020621,64.5784307795225,81.0576210509213
"6",57.9140203716967,0,35.7692129747355,57.9790171636285,65.4895857204305
"7",57.8363986642479,0,32.6181684659374,57.0028136732404,57.467060923225
"8",89.4600337050285,0,43.6169100629422,61.0867049218137,91.6275812850504
"9",47.6021298992719,0,44.5218485323993,61.7681079621731,59.0837830680232
"10",82.8751067061493,0,43.9827692684574,70.6847195818993,73.954087138372
"11",76.0462242049686,0,35.3342368745957,61.1069572057012,62.0089169731638
"12",51.1491802279876,0,47.9240850922314,66.4742953690506,61.3807476087644
"13",64.0453447159413,0,41.4245762835768,76.8130255198741,63.5043188976001
"14",64.4348029084188,0,58.8066074113395,71.8439090578293,64.6994205125347
"15",59.65012470313,0,38.4966689097489,68.0141848506506,62.6700831147484
"16",58.7302550062276,0,34.9641120850259,57.9502314835914,62.8377370549213
"17",77.8287230386102,0,51.6306513328145,72.1893640912336,73.7800152925461
"18",50.948946981164,0,36.8756447600415,58.2057393464545,57.8499131625324
"19",73.8328127020783,0,54.7883936762761,72.0967516573208,71.7507546557469
"20",71.6396759294102,0,47.6411990096042,63.9857340130624,65.8260694144816
"21",66.0662889909955,0,46.5220988285667,67.826355491948,71.2681913725438
"22",64.715354957378,0,50.0593604206305,73.5109136713492,74.9438522156745
"23",88.5669406904984,0,47.8410220857149,74.6451403537499,92.4301568096606
"24",54.6828782749198,0,31.0802075547329,57.7636376367382,60.7653231211312
"25",56.8091155132718,0,43.9134437479422,61.426268082291,60.7732554798942
"26",63.1770630506642,0,38.4447648370908,68.0857062146265,76.2551315667525
"27",61.0921983978563,0,36.2749413131740,60.2330021309409,62.8400672217544
"28",80.5059829658025,0,51.6548224628194,59.7536219596302,74.3126776264739
"29",55.0480500367682,0,35.5590208121753,57.9114438254686,65.8185468508681
"30",59.4674725255388,0,47.6574912403408,75.7650848092242,55.0004726878046
"31",41.324298584073,0,29.3513578288569,64.1792848335078,54.2024217930289
"32",83.4203088113623,0,70.5121463053297,77.7627442645498,86.6452001509614
"33",36.0530674666617,0,30.786960186155,52.9546708565478,53.5131269439773
"34",69.672416629215,0,42.9975463813524,70.6416325102929,72.0101972536389
"35",67.5691843674613,0,36.1559070994002,58.7462496927766,63.9403989627637
"36",56.2850723214458,0,34.2409967075368,61.2391859600931,58.0488930295522
"37",65.373796673877,0,37.5650329531136,70.0895753031593,56.8426534434114
"38",72.199271566245,0,32.2164617805796,61.0419646437975,67.3192297083093
"39",77.9122064242305,0,43.178895284,59.3330070440011,79.8690630847626
"40",65.4410866271774,0,42.6937429549411,67.8559448838095,70.4364882176363
"41",68.2582292381638,0,49.8004620912921,72.416110061387,71.9693658992598
"42",36.3800507462404,0,41.102261738121,62.6821304169796,48.4016213143052
"43",62.2754682290334,0,29.8144498011157,52.574111193452,57.8778903709753
"44",59.7485929496176,0,49.1474884541965,73.3972971741813,69.6220359533032
"45",59.4104271480819,0,45.9860227878246,59.2566118463298,61.7679534831151
"46",47.297906104555,0,45.7980691867474,55.6305733024291,55.0483372006119
"47",57.6848659709677,0,26.6847491061125,49.4538817624785,55.5958051655554
"48",66.3285616025834,0,62.5577126743516,80.1284184389076,66.1644925334372
"49",74.7895894850543,0,52.0421494128782,70.3212115487846,71.2000711571859
"50",59.3755832553353,0,36.7142939392357,60.4583770117618,55.7954729809891
"51",73.730881952535,0,67.4545049196512,76.5184096815295,75.0153633139439
"52",56.4782377207605,0,48.3686586595123,66.9856091333048,61.8438767695283
"53",65.998784023536,0,47.8668600629051,69.0125937640534,65.7313164488365
"54",70.4741732798048,0,38.5751391499694,67.9584590841634,71.3539042898676
"55",68.0206587062207,0,48.869779992229,63.833433324923,67.0447726781903
"56",77.2581205922381,0,68.4467427549086,73.17393188964,78.5186506986836
"57",71.1264618680605,0,49.3289074638662,69.49901129437,76.505934409208
"58",62.2323955269778,0,53.9226349790501,68.1566859319193,68.823547043746
"59",72.7945085604351,0,50.7816605186818,73.071880816168,64.718036222849
"60",66.9660459631646,0,45.3506088421213,58.450739611804,66.7699347145338
"61",59.8372384672288,0,44.8803704635305,79.5345440789743,58.8610674967736
"62",68.231217528486,0,69.7788355587762,78.1908707712754,66.0179972193813
"63",60.9802761823474,0,37.6607306986568,53.4454725001731,62.4256800475792
"64",53.2846986509949,0,52.9874852435408,65.7043691139509,56.0721386344607
"65",76.7346603080283,0,60.102068268057,79.8079368034386,77.2287203282355
"66",35.9271602528907,0,40.4328307761799,63.602414606822,52.8219307675787
"67",55.5530962495909,0,38.4384922893405,62.6858316010416,64.2501069726158
"68",71.2373160235289,0,46.3357169170648,80.3817593507471,76.0476997220866
"69",55.6648788109379,0,42.4075769493943,58.2401965861039,62.4846092537932
"70",64.9340382595893,0,40.7203160592496,61.4156192549537,64.2270378253927
"71",64.7651367171461,0,45.8898267511818,59.807955742552,66.9294405406123
"72",58.6266284780727,0,30.1619756762537,58.0353681031853,64.6275139986358
"73",92.7715982523456,0,45.7333531174810,60.9693384150847,87.2737189769663
"74",55.9755349663823,0,47.5944036643725,61.6816136974913,58.9207852233098
"75",60.7667654731949,0,42.8225585198383,61.0243413966338,69.345583623127
"76",72.2527982712591,0,52.7265747018891,64.8392135447788,67.6409497196877
