"","mds","mdstp","soap","tprs"
"1",0.0987391521545609,0.0440522821963982,0.0193824700143244,0.0342485253035649
"2",0.0895069416250359,0.0449596130973705,0.0232868230418284,0.0425909732093124
"3",0.0993726956245657,0.0422796010458213,0.0214425012566049,0.040349920451345
"4",0.101167309764299,0.064154064210528,0.0241065721346927,0.0498720423457471
"5",0.0935485517960567,0.0404702075817838,0.0200851830153712,0.0366160925686301
"6",0.0958590568923518,0.0400212298812388,0.0196767866247568,0.0639846705174844
"7",0.101840062445250,0.0399277161943366,0.0214902987593899,0.0453310409060223
"8",0.0932300916065435,0.0611904445798011,0.0238526586212958,0.0401481565126528
"9",0.105507197340010,0.044351555059983,0.02509288978428,0.0794033478849026
"10",0.096875681545317,0.0479055694437314,0.0222637904063932,0.0304360630394129
"11",0.101663691949535,0.078039486774103,0.0222885473099910,0.0445725587013249
"12",0.0719377749320762,0.0422943920240574,0.0200900319256725,0.0367464834803982
"13",0.102261270911665,0.0373193520119998,0.0205820913582143,0.0304532144189556
"14",0.0765948368767935,0.0436719541943749,0.0318522599595632,0.0478921999778005
"15",0.102472673110599,0.144495915454158,0.0201382511382544,0.0382376301565483
"16",0.085611893317608,0.0403445799877995,0.0227848699690784,0.0523580649646445
"17",0.0656652331041075,0.0427849671504369,0.0303899043944768,0.0724763243652788
"18",0.0699276466696137,0.0570847669935028,0.0215143306123347,0.0357105022020422
"19",0.101935218482761,0.168483828577521,0.0417285398039445,0.0419497255316612
"20",0.104640292339437,0.0900235577264483,0.0249898230026647,0.046063929113368
"21",0.108814935714185,0.0502599638707161,0.0264749746925432,0.0445905779839431
"22",0.0915384355532198,0.0604733808961786,0.0213993107990258,0.0743391880940538
"23",0.107389429969801,0.0413599145665207,0.0249532499517076,0.0789566980735077
"24",0.0933804470905442,0.0438793391724560,0.0218662642094263,0.0568097856448482
"25",0.0736337550271947,0.0427442028530709,0.0187127539359629,0.0461057412544923
"26",0.102305714390937,0.0641765791243461,0.022123265459441,0.0336705238744711
"27",0.118359333694710,0.0531680908151767,0.0295416403300899,0.0487854704071282
"28",0.100639278194594,0.0412813438026306,0.0191907610670569,0.0749567243019566
"29",0.093203795525826,0.0552273607779158,0.0180022408854693,0.0388556919813245
"30",0.121175999116219,0.0617530141195135,0.041729522109441,0.0489415713407608
"31",0.100482428801692,0.0605962948424106,0.0244484115104349,0.0388503128091248
"32",0.106485154356602,0.0500877076582656,0.0210504371876946,0.0640377818133261
"33",0.106907577010586,0.0398097395823498,0.0205458956890174,0.152725598965290
"34",0.0904887826464726,0.0603589536266317,0.0243883066071591,0.0555377114480026
"35",0.0849437088557235,0.0441844817712809,0.0225013879429873,0.0450069692611661
"36",0.111557415238691,0.0743808021801845,0.0277618071122582,0.0555801800949047
"37",0.110257937572141,0.0735794552645286,0.0294711702372380,0.0685053718652615
"38",0.0894705718281377,0.0454592762368912,0.0211503072932977,0.0577429121947247
"39",0.0652685185927245,0.0471897946787093,0.0188139701538995,0.039274283125263
"40",0.104298625600622,0.05134424096955,0.0299345159192633,0.0400717581282718
"41",0.108915985502966,0.107654817614401,0.0284658525297309,0.0907237886396272
"42",0.0676921669162104,0.0412672045668767,0.0236393310695127,0.0406836498820831
"43",0.101317795599645,0.0443122340345395,0.0274512666159797,0.0414157763844483
"44",0.106931444901354,0.0423672980244004,0.0219341241888877,0.100319005464158
"45",0.0963921521688304,0.0385827933196438,0.0208340303952426,0.0556721266974405
"46",0.116264808081388,0.104148934854350,0.0333216356695298,0.0481767672841066
"47",0.0802718604546821,0.0466849559911506,0.0197918637219346,0.0443851211173778
"48",0.0950625892909534,0.0589806915694491,0.0230139251618132,0.0435358822596735
"49",0.0972416854864637,0.0507704058936741,0.0171492513664749,0.049276776900951
"50",0.0989026477113632,0.0538222341131653,0.0239563528584256,0.0335419424286257
"51",0.100385040935209,0.0418353155200917,0.0248887920325393,0.0331170880487174
"52",0.112525985548203,0.172516298568948,0.0364911856033606,0.066929157774832
"53",0.100874094818086,0.0513419298022114,0.0592314204082835,0.0444670746698316
"54",0.09326112466567,0.0563596723719273,0.0246053939344412,0.0423834712554699
"55",0.102544737925490,0.0477454853675488,0.0201344673538400,0.0382354372336585
"56",0.0879154956819293,0.0421097418664537,0.0199311823460857,0.0353448877776696
