"","mds","soap","tprs"
"1",42.1138378879734,36.7728575371827,94.3592890095952
"2",53.5810081222763,39.0311971374763,93.012037547953
"3",46.0148078410040,46.1964625371522,91.6742853482932
"4",46.0575861701234,39.2824342869507,93.0827040257565
"5",48.8605915784231,39.3341678324806,93.6831436947154
"6",42.0625724103884,38.325423265068,92.5815144808617
"7",38.2086813798149,38.9581846363002,93.8090029659635
"8",53.301153013174,42.6637286779755,93.6486810313663
"9",47.3680834781246,38.6036146819225,93.3270643713444
"10",43.9097671230897,37.8884293402026,93.7630220225974
"11",40.5016386386747,33.7901361335307,94.5756811201696
"12",50.8423351292402,44.4314500337113,91.3028849699733
"13",47.5141223486415,38.3943287244786,93.1993264014293
"14",39.8311021012383,43.1345294682273,91.2201648217098
"15",47.004644204841,42.1977198195007,93.0293559209169
"16",42.2501259768892,37.3568068324816,92.3216763157345
"17",44.8157909461306,36.3169006458314,91.4625542579796
"18",45.8701500244116,39.6274127141351,92.9888133409102
"19",50.8460485381461,38.8598125390732,91.643300551823
"20",37.6155372894969,39.1650859395884,94.5256882688976
"21",43.9898718087436,39.2259355187183,92.0110800876862
"22",52.0105975316379,47.2694047092069,93.1860273698156
"23",45.3890364977567,38.8574918237171,94.8568690414522
"24",50.2198240768336,41.9867817749713,93.8063073105379
"25",62.8599321938665,40.5985281291451,95.4142119754188
"26",54.5079518484123,34.5799957616803,91.0011452911314
"27",49.8374241903481,33.3652444707989,91.679063466649
"28",46.2075415771122,37.456034331944,95.3159494751975
"29",50.2435965155634,41.7834413815228,93.7255009785432
"30",44.5107783333623,35.7660531312829,92.8372922851515
"31",48.8494142979617,40.4555355809468,90.775436024907
"32",47.4920713997164,36.1966697772907,91.0399954431583
"33",45.4216187842458,40.1604024813232,92.1650182388917
"34",48.4003337623776,35.9445663909480,92.3750400870265
"35",46.2796827242806,41.130958087708,91.5271091074756
"36",47.7289079156498,41.2036705189678,93.489544470557
"37",47.9693608033094,40.9641642652886,93.92475650761
"38",38.9965507100442,33.4581680652592,93.1871328958058
"39",51.5677996261851,43.2710561679435,95.5623171180337
"40",42.3383844517576,39.0820266585917,93.6090311434729
"41",38.5415933737409,31.1633849531129,92.251263974596
"42",38.5457029281165,36.2591564190892,94.5326605711532
"43",38.4159125423878,33.4062745922665,93.6804939138447
"44",52.959852420283,35.5747306234052,91.3976568029687
"45",39.4507030233702,36.3063677154715,90.8254964023853
"46",46.4334073310351,34.2263819850637,91.4242839930483
"47",45.8067038023633,32.599736878556,91.5346001907644
"48",39.346502880758,29.3152616036392,95.0909085776991
"49",49.9311782417668,37.6664026317583,91.4988928431456
"50",41.4599414855754,47.2973787666773,93.0771222334868
"51",43.1821793402151,32.258977479619,92.8036006958173
"52",50.187941404823,42.420652426206,93.0735196122356
"53",55.1973713394142,40.7480402778063,93.7586669742113
"54",41.7780812051066,32.7472998104969,91.9314112835729
"55",38.8693293255832,34.4968447176683,90.1751636384343
"56",47.7469220665703,36.7471889898392,93.843792406357
"57",55.2359527282061,37.4348182963307,93.476267795541
"58",42.2218110223713,37.7621674960572,92.4859684928674
"59",43.0175172733465,39.8369576160729,92.1285219468929
"60",50.6689140203364,43.5882745989974,92.3060828184396
"61",55.36768474502,41.1829292116643,94.0052697202189
"62",58.8562936316541,44.2116341741057,95.5202769540591
"63",41.7450002545929,43.4351616071387,90.3822174033441
"64",47.2291273917077,38.7867120266454,95.2247465021348
"65",51.2207340323194,41.7655118420362,88.8695787000977
"66",50.0698823214286,44.5196871275556,93.0865089812253
"67",53.2068775070606,37.6175678771671,94.6632427865783
"68",46.4766073288452,36.1990481426445,92.6190400299342
"69",39.4126333380264,38.4739229926060,92.3530731826714
"70",46.1344038809335,37.1091760157972,92.9118337119279
"71",45.6067639028187,34.5094000363268,91.8074949187845
"72",41.1388855484707,41.250184885153,91.0318590633443
"73",58.9837433736874,45.5787847665059,93.2535467941542
"74",46.4536780801578,36.7010852534609,90.7386916175863
"75",44.0421805392934,36.9646240221782,92.7849183187462
"76",39.5154385604955,34.3816764915748,89.8953163639756
"77",42.9817524934125,37.1849934941573,93.9746277125528
"78",50.4993575532045,45.2128050363528,93.8995969657024
"79",52.7154616286643,42.1936262134134,94.8334768849277
"80",41.5967949169258,33.6558608585154,90.9970758817947
"81",44.3076541984059,42.1848711664214,92.5224698322604
"82",44.563687084975,31.1409057604319,92.016845003697
"83",52.9872049862839,43.6767635868108,93.1650897455348
"84",42.5169229705676,40.1167659938762,91.7338820921598
"85",42.6848170546633,38.5073527915191,89.783333317616
"86",56.7514412249847,39.4526788801168,92.4847590681005
"87",46.2439265642748,47.7253922723481,92.6020615604669
"88",45.6381679338652,41.3993109642484,92.8153444946
"89",54.8985244708192,48.0510060791564,93.0498620405582
"90",50.7923824478669,41.0295514388646,92.4123884589037
"91",47.3894549425648,50.8470965804329,93.7482439081638
"92",45.1711994441628,39.9765410737976,92.7861302448032
"93",44.9079833191125,42.7192741416842,93.1390147704916
"94",44.6995263149448,39.882084751801,92.1127243398817
"95",51.0865906380388,40.8270636047674,91.8658065145978
"96",44.1414365731037,33.4455172421784,92.7167574944218
"97",38.697655525946,37.350776063217,92.483457982529
"98",46.5002143994154,33.0419648340062,91.4956685557836
"99",43.113771832049,43.0843451966576,91.5997080073637
"100",51.5105604832475,38.4400318836686,91.0491619207682
"101",39.9678595035561,38.2710637629435,93.192732564735
"102",45.1695704368083,43.2915438526304,93.8268211152004
"103",44.2536350767393,35.4139423158385,89.0399488653744
"104",45.2924484119453,39.5749807223785,93.7008740748819
