"","tpmapped"
"1",0.0308649483068641
"2",0.0183459874158973
"3",0.0380752977252213
"4",0.144579943439188
"5",0.109431516673851
"6",0.042662846850646
"7",0.0513278432333602
"8",0.082204852278693
"9",0.0563298160593862
"10",0.0175091676668320
"11",0.0348649437442403
"12",0.0532956246748181
"13",0.0638437243041241
"14",0.041209669518025
"15",0.0396429783134478
"16",0.0176961083933304
"17",0.0329569370607393
"18",0.0354663146761582
"19",0.0239613520676480
"20",0.0443367677781692
"21",0.0323068153538
"22",0.065021648773959
"23",0.0112160517933229
"24",0.0338727829671509
"25",0.0425984273091794
"26",0.0318267677057712
"27",0.0295162737355804
"28",0.0192708898997175
"29",0.0304007943899933
"30",0.0335339861000558
"31",0.0460589103975329
"32",0.0186289889106423
"33",0.0226693363771344
"34",0.0530365773954847
"35",0.00510366230554147
"36",0.0249501673588818
"37",0.0305039187995275
"38",0.0231965256409454
"39",0.0540007397730444
"40",0.0253206653466982
"41",0.0353882854285451
"42",0.0235331191110198
"43",0.059538881076822
"44",0.0324722158049299
"45",0.0225828519399148
"46",0.0202644334592619
"47",0.0611985772953409
"48",0.0239173768778175
"49",0.0182090074270720
"50",0.0604176317957145
"51",0.0331187739659982
"52",0.0283558433252588
"53",0.0189861137264501
"54",0.0289938374448333
"55",0.0303966830904344
"56",0.0385802067399781
"57",0.0413602752831487
"58",0.0195002516777597
"59",0.0205811991064646
"60",0.157956350835132
"61",0.0261126398508704
"62",0.0270759928401502
"63",0.0175555122875422
"64",0.0176897471582802
"65",0.0262117487178398
"66",0.0246227918142495
"67",0.0213188027076555
"68",0.0254243218998891
"69",0.0381765184669891
"70",0.0338650510732131
"71",0.120278166941149
"72",0.0311865934050651
"73",0.0218541319024883
"74",0.0181854922390774
"75",0.0240924091701328
"76",0.0487531101291625
"77",0.0281767455674340
"78",0.0556326196794714
"79",0.0488227352387142
"80",0.0288185948535451
"81",0.0205064070607255
"82",0.0502119813917235
"83",0.0191615214222074
"84",0.0486849033625317
"85",0.0281046183029323
"86",0.0418127418460364
"87",0.110106841179102
"88",0.0190178449445443
"89",0.0858772405257337
"90",0.0313026383372471
"91",0.0526944233552367
"92",0.0243355538799794
"93",0.0497636058780186
"94",0.0426606591853725
"95",0.045946714117488
"96",0.0156185169459027
"97",0.0342761768776938
"98",0.0254037441988030
"99",0.221092204229967
"100",0.0867339449292192
"101",0.04237116569705
"102",0.0672176881250705
"103",0.0173842650733542
"104",0.0562333732922313
"105",0.0475910270459389
"106",0.0286724073054660
"107",0.030911775804599
"108",0.123209120086878
"109",0.126070686077017
"110",0.0375354248155356
"111",0.055164068058507
"112",0.0451408391050138
"113",0.0243687130064709
"114",0.0208777661312954
"115",0.0176822287592276
"116",0.0304501994070273
"117",0.0262057415738993
"118",0.0340998113621579
"119",0.0274988780360439
"120",0.0575690158377264
"121",0.0530105605671702
"122",0.0364780211870178
"123",0.165531788309485
"124",0.0127316326178210
"125",0.0224479331381075
"126",0.0835428553695042
"127",0.0814137999390644
"128",0.0208291190547562
"129",0.07557563602757
"130",0.0347453197922724
"131",0.0804385614661392
"132",0.0266260109302605
"133",0.0256047190105024
"134",0.0165971304931875
"135",0.0558181340713469
"136",0.0290921852091818
"137",0.0193997518670425
"138",0.0417378290424003
"139",0.043851056564314
"140",0.0571978435061136
"141",0.0402700115621563
"142",0.0438365633614318
"143",0.0159903135531413
"144",0.0180222923961351
"145",0.0280055547360857
"146",0.0482074432084158
"147",0.0448182639103541
"148",0.0624118075228322
"149",0.0230926600835106
"150",0.0264707310407566
"151",0.0341284320272478
"152",0.0279426050699067
"153",0.0438375197059619
"154",0.0371600552657744
"155",0.0629351966863917
"156",0.0197787032114649
"157",0.043244523884095
