"","mds+tp+adj"
"1",0.0747685461782818
"2",0.0828044272202274
"3",0.0835963632449959
"4",0.0960728611685067
"5",0.0855460791011345
"6",0.0989381630236363
"7",0.109507098030755
"8",0.08308313311769
"9",0.0896192637225828
"10",0.0897546720915675
"11",0.0878411685560839
"12",0.0729022280705976
"13",0.0866625127953668
"14",0.0639378216515103
"15",0.0747747367288997
"16",0.081263299553721
"17",0.0708952705027052
"18",0.0754667198934642
"19",0.0643718774588546
"20",0.0631031517472997
"21",0.079307090183154
"22",0.0833232927820963
"23",0.0722415566665303
"24",0.0670472078494555
"25",0.0801013006379144
"26",0.06478397735954
"27",0.0708264667346591
"28",0.0720085601570028
"29",0.078434005756071
"30",0.0757822218066457
"31",0.101940272292918
"32",0.0826626368378945
"33",0.080352834664877
"34",0.0657559191728826
"35",0.0989430237151232
"36",0.0717301118744177
"37",0.0839204744062803
"38",0.0843337113311054
"39",0.0784805111252987
"40",0.0976339292683416
"41",0.0829330951773189
"42",0.0798958198514269
"43",0.0778969226055823
"44",0.0865356164022743
"45",0.0814100775501041
"46",0.079733661902485
"47",0.0703403885057473
"48",0.0742410637501248
"49",0.0695420794307414
"50",0.0749245365846783
"51",0.0619726037130787
"52",0.0856033986219216
"53",0.0769548802013866
"54",0.0846953946985613
"55",0.0839203140398285
"56",0.109821038326475
"57",0.0644899852324406
"58",0.0757630723426535
"59",0.100982732948580
"60",0.103709493746909
"61",0.0921454985686215
"62",0.095208493785187
"63",0.0637573204902904
"64",0.0763655774516072
"65",0.0731375655137607
"66",0.095855897435973
"67",0.0699762384308502
"68",0.10074712961654
"69",0.0937347557002784
"70",0.0831563481297899
"71",0.094606462614783
"72",0.0796319875297458
"73",0.068946912411676
"74",0.0823325890438084
"75",0.0662047950476246
"76",0.0790442322217384
"77",0.098242334292619
"78",0.109937985826825
"79",0.0841425002028856
"80",0.0722178780321564
"81",0.0810226582108674
"82",0.067713751167628
"83",0.0836091832153343
"84",0.0923038333423242
"85",0.0958357928935396
"86",0.0832722412897033
"87",0.0726377890100012
"88",0.0855307050782997
"89",0.0808500089283159
"90",0.088999945776537
"91",0.0720698644886604
"92",0.0964617999876722
"93",0.0874960640346088
"94",0.08748194165622
"95",0.0722389321616045
"96",0.0871807620886094
"97",0.0830127899118157
"98",0.083661166680393
"99",0.0746593841363982
"100",0.0937820318400711
"101",0.095350290723249
"102",0.0823704735212973
"103",0.0781455940936999
"104",0.0961495614534968
"105",0.0995149717316633
"106",0.07732628804597
"107",0.0967501079993395
"108",0.0940501099309733
"109",0.0808681678887242
"110",0.0855487396464261
"111",0.0735756040559878
"112",0.0766757923203002
"113",0.0704756599261693
"114",0.0847981993461871
"115",0.0815124961341439
"116",0.0823135819632436
"117",0.091109249342656
"118",0.100628422104714
"119",0.0887703329429656
"120",0.0883160254280344
"121",0.0979689111212672
"122",0.110578690065827
"123",0.0944241797937456
"124",0.082554745574412
"125",0.0733653661053837
"126",0.08909865179548
"127",0.0783023354768796
"128",0.0836507306773504
"129",0.0882945142871638
"130",0.0832095830893438
"131",0.0846739393708993
"132",0.0747518038410832
"133",0.0721971767278087
"134",0.0798387226011956
"135",0.0942970995569334
"136",0.0801389030431349
"137",0.0743369846790434
"138",0.0620898073287935
"139",0.0966753075216983
"140",0.101882319290715
"141",0.0872042620195883
"142",0.095758837585669
"143",0.0898969753471598
"144",0.0662107654737178
"145",0.110491699409244
"146",0.101932802919534
"147",0.0701636992303701
"148",0.0861109247084216
"149",0.077885279513809
"150",0.0784537605654255
"151",0.0800081652061813
"152",0.0896796105700634
"153",0.0621407387863232
"154",0.0677640336355858
"155",0.100464261135122
"156",0.10393141426815
"157",0.0990047203260461
"158",0.0838140669328937
"159",0.105292120514976
"160",0.101703904305496
"161",0.0982309259590516
"162",0.125170998673348
"163",0.105266711297818
"164",0.0939951147122819
"165",0.100702128872324
"166",0.078318522315342
"167",0.0799475790167488
"168",0.0809694346993679
"169",0.0675156042918723
"170",0.104614051550724
"171",0.117035837600002
"172",0.0800782723486044
"173",0.0822893839933128
"174",0.0689791005928054
"175",0.0870443911100811
"176",0.0669521010352707
"177",0.0648900083344423
"178",0.0672113624596778
"179",0.100925084374201
"180",0.0535669350636169
"181",0.0794716780859186
"182",0.0792494792829052
"183",0.0750513285248002
"184",0.0724655214727938
"185",0.0785635519668915
"186",0.07150188551907
"187",0.0882311263419393
"188",0.084090256602518
"189",0.0828084451338726
"190",0.082274058871046
"191",0.0868814242439292
"192",0.079469584636206
"193",0.0774454357518673
"194",0.0851819068561754
"195",0.0584383252884834
"196",0.0787932231651324
"197",0.0822109941310758
"198",0.086277704036129
"199",0.0832137058922264
"200",0.0868958844106106
