"","mds+tp+adj"
"1",104.391018768383
"2",102.080356268796
"3",100.943956336216
"4",47.6071703484845
"5",101.021051940169
"6",106.157886896434
"7",86.7453523499671
"8",110.193841903327
"9",105.147468625530
"10",108.312213241089
"11",106.691147135215
"12",108.101159960307
"13",105.653497223647
"14",120.692793821570
"15",116.988562610788
"16",59.9569735949046
"17",98.4217510721568
"18",116.763751519891
"19",120.207581111706
"20",41.6078897297715
"21",103.862776035321
"22",99.0987274042027
"23",96.9594506606389
"24",122.009074377781
"25",92.1385620267777
"26",106.112540054181
"27",114.712210278132
"28",118.598558114733
"29",110.736512802848
"30",113.270899091906
"31",55.434280375703
"32",117.143895647185
"33",95.891824114239
"34",93.7437340222555
"35",91.091666280174
"36",106.569886978400
"37",90.7533954594833
"38",111.745814825224
"39",115.734402396528
"40",98.750149885745
"41",51.8090575216034
"42",110.340933582141
"43",126.097934201902
"44",100.009313187781
"45",121.174775477687
"46",103.957352827326
"47",126.867807559057
"48",105.503799587405
"49",107.408813542917
"50",43.9409096960649
"51",110.840176479078
"52",82.6479325187789
"53",87.699086137844
"54",110.478335386269
"55",104.936418120684
"56",51.30573779812
"57",103.986103434662
"58",104.888759516947
"59",83.7356362398446
"60",68.5121410832915
"61",111.230917002365
"62",107.498790804933
"63",99.5041037817173
"64",54.4698484752603
"65",104.292275236983
"66",80.1243872419592
"67",109.675434252347
"68",108.510917250720
"69",39.6601459494938
"70",99.359194864382
"71",60.0721861241418
"72",104.757571222583
"73",53.6571639037802
"74",104.873648739530
"75",115.987238527279
"76",112.723129748611
"77",90.0897904090413
"78",96.0406092067255
"79",109.254296107216
"80",109.242875016364
"81",94.0874565095016
"82",99.5697195688293
"83",115.738517288826
"84",97.6033665783211
"85",97.8119663288482
"86",108.760167609186
"87",105.991797156796
"88",51.5538642747724
"89",101.196127492719
"90",95.3890154850168
"91",109.806165877813
"92",107.657513325783
"93",76.7093487233112
"94",101.783172282796
"95",108.046559297056
"96",102.012981259306
"97",94.5875610428005
"98",111.738794416793
"99",111.122782655215
"100",45.7855341495237
"101",102.495162570760
"102",110.292173869316
"103",104.933378665505
"104",110.203441780345
"105",81.8614122977354
"106",113.751698694437
"107",103.457990478607
"108",90.613118071056
"109",112.056413551131
"110",105.214143498002
"111",99.8709928203385
"112",104.130036354686
"113",93.1024444048047
"114",103.850108220525
"115",102.077405920317
"116",97.623471533296
"117",86.389006249656
"118",102.380827614913
"119",128.891842085904
"120",105.894036844166
"121",101.345636007841
"122",104.498540822757
"123",116.084715709056
"124",37.2836213874096
"125",94.6550103417313
"126",116.371557738498
"127",101.396206334918
"128",97.6447808329035
"129",99.5042775198647
"130",47.6370808942937
"131",114.606636002908
"132",109.708706271491
"133",108.908136769794
"134",116.551400812100
"135",100.493746469545
"136",109.667481827183
"137",100.750493661456
"138",107.332672256584
"139",117.512073822330
"140",109.850248209261
"141",97.220125424
"142",87.0587546574556
"143",96.0787175726364
"144",113.430183755323
"145",44.4157528391261
"146",100.467187173781
"147",110.939429506103
"148",105.604988941997
"149",100.865406238396
"150",104.514420538276
"151",99.24902205241
"152",57.5104915813394
"153",121.264647670058
"154",43.6310971484344
"155",119.867467813636
"156",84.4304918474346
"157",114.864314582388
"158",110.719213576992
"159",93.783937524713
"160",84.9870828443982
"161",41.7879907723902
"162",83.4832990638162
"163",106.135529499305
"164",110.546051254568
"165",92.0715091042718
"166",103.273113571396
"167",108.042748087634
"168",48.2714510412127
"169",97.9011804978088
"170",107.146314390164
"171",102.047423006032
"172",108.542134951872
"173",109.018699769787
"174",115.027682008686
"175",94.29548641565
"176",121.942499495393
"177",123.522610460667
"178",110.536518938007
"179",116.223692231343
"180",112.322182355036
"181",94.0380762681334
"182",102.966393849678
"183",115.341984067969
"184",99.6108954282466
"185",110.844259411506
"186",101.709819919835
"187",101.010670985276
"188",87.2417034361682
"189",52.3031951951936
"190",109.675280573634
"191",128.479287186654
"192",109.014092094941
"193",109.952422443623
"194",98.5407837309872
"195",119.388613181534
"196",42.1107650978746
"197",53.1414529420839
"198",120.383607791362
"199",47.0373739266233
"200",74.4393805890998
