"","tpmapped"
"1",0.0147962236446875
"2",0.0162426294860674
"3",0.0136736130448631
"4",0.0149725173279602
"5",0.0155560328397107
"6",0.0141880573807764
"7",0.0144800842324869
"8",0.0151794998923281
"9",0.0158785344772228
"10",0.0228199482354014
"11",0.0170558244387189
"12",0.0166296786230771
"13",0.0150725849388072
"14",0.0146810716082996
"15",0.0144907382779959
"16",0.0169959164483736
"17",0.0156690582710905
"18",0.0261054297013526
"19",0.0151843986873844
"20",0.0142836395571103
"21",0.0163875311173283
"22",0.0171772221243959
"23",0.0154183571960362
"24",0.0165059068361319
"25",0.0139792810215292
"26",0.0137763643929303
"27",0.0160606622670403
"28",0.0142591435218538
"29",0.0114695488014248
"30",0.0136284509286055
"31",0.0148743344256688
"32",0.0145856195756673
"33",0.0171139405648870
"34",0.0160321558542767
"35",0.0149859571265995
"36",0.0173573760171677
"37",0.0151115072651299
"38",0.0145003467343335
"39",0.0124206763192882
"40",0.0187685731834165
"41",0.0150208760842116
"42",0.0134007445627403
"43",0.0186048416548564
"44",0.0139660053810925
"45",0.0162783696060816
"46",0.0201323158199505
"47",0.0185000877265907
"48",0.017787370083058
"49",0.0169092657062742
"50",0.0156245150854913
"51",0.0157206946014049
"52",0.0177295986124003
"53",0.0163509588242981
"54",0.0130828416990901
"55",0.0114600889054472
"56",0.0162452249263555
"57",0.0147696099396768
"58",0.0138894393563500
"59",0.0150403907640901
"60",0.0145219109921444
"61",0.0150688478576165
"62",0.0160398725384498
"63",0.0164742992411912
"64",0.0198152508177482
"65",0.0152189754615135
"66",0.0154009301549102
"67",0.0145939816835351
"68",0.0174777291598796
"69",0.0188416050602322
"70",0.0149409467480175
"71",0.0162194018520183
"72",0.0184687521559957
"73",0.0128295698491343
"74",0.0136855182160842
"75",0.0172130833069880
"76",0.0160909996532819
"77",0.0154748168475112
"78",0.0137232136675421
"79",0.0137450194329259
"80",0.0159370298099644
"81",0.0152401356304693
"82",0.0207337512967739
"83",0.0144403405253651
"84",0.0162832882528153
"85",0.0145752709237284
"86",0.0165485512247022
"87",0.0166658926616874
"88",0.0156735256643274
"89",0.0141848586380292
"90",0.0169529840625697
"91",0.0162629761995241
"92",0.0174481671871421
"93",0.0147275475474216
"94",0.0140184390897397
"95",0.0170037956276180
"96",0.0161056215160745
"97",0.0179162617864179
"98",0.0153690213050244
"99",0.0146663659378972
"100",0.0182030675764724
"101",0.0150751034675040
"102",0.0177753980943420
"103",0.0132243397060252
"104",0.0227527105274627
"105",0.0175943551269727
"106",0.0147748776622818
"107",0.0146344506347666
"108",0.0233240184990605
"109",0.0161625871414302
"110",0.0231711606839673
"111",0.0175468043299131
"112",0.0152723959661960
"113",0.0149705866767115
"114",0.0153924503131355
"115",0.0143415779749051
"116",0.0144412055185430
"117",0.0148309508714981
"118",0.0161099210966020
"119",0.0154529195185418
"120",0.0160979559099445
"121",0.0174075723121192
"122",0.0155518340176079
"123",0.0161987184051940
"124",0.0152427761600922
"125",0.00941749742396965
"126",0.01454421296851
"127",0.0143390361035653
"128",0.0184232817590414
"129",0.0181480864218490
"130",0.0174455898035766
"131",0.0157795356210121
"132",0.0163199798852873
"133",0.0138238402569655
"134",0.0166288126370548
"135",0.0171899669012501
"136",0.0127402177212814
"137",0.0184050979846030
"138",0.0128833262898447
"139",0.0171713919801063
"140",0.0159897707145846
"141",0.0201044556163245
"142",0.0163759641636433
"143",0.0186603389592148
"144",0.0172817511281828
"145",0.0153999609639942
"146",0.0134298176335262
"147",0.0256472385827898
"148",0.0108418411258731
"149",0.0167132506275460
"150",0.0159482666026577
"151",0.0168972000841510
"152",0.0144940842279848
"153",0.0230754115452291
"154",0.0108030681457347
"155",0.0199011447781109
"156",0.0152986819175319
"157",0.0163388241656564
"158",0.0143749756227009
"159",0.0112052369401759
"160",0.0155115811186644
"161",0.0147365958132082
"162",0.0151737913161098
"163",0.0139059945932462
"164",0.0138756695075775
"165",0.0250816105994055
"166",0.0196464699884084
"167",0.0146939981672950
"168",0.0147487045098428
"169",0.0177170284454694
"170",0.0165961756403249
"171",0.0192315678088818
"172",0.0142036280113316
"173",0.0145471050508147
"174",0.0165267532218668
"175",0.0145700892829585
"176",0.0165837464242929
"177",0.0149234699999761
"178",0.0180759913354285
"179",0.0176214701563195
"180",0.016559752124894
"181",0.0175939429741788
"182",0.0244768949970917
"183",0.0177432032113216
"184",0.0156250002938775
"185",0.0141691587612568
"186",0.0180099810059315
"187",0.0154042239435821
"188",0.0111550577016801
"189",0.0160715047227052
"190",0.0159279908835348
"191",0.0162067863139062
"192",0.0162552934751610
"193",0.0127856560000827
"194",0.0158884302636457
"195",0.0142016128950893
"196",0.0132893399597975
"197",0.0199175372399854
"198",0.0213134927637582
"199",0.0153557565121384
"200",0.0141559940866137
"201",0.0165117469511714
"202",0.0190030051614212
"203",0.0151739668561523
"204",0.0156309154108621
"205",0.0190658750160151
"206",0.0130736613853759
"207",0.0177175332794154
"208",0.0154730279002365
"209",0.0152853536392538
"210",0.0161352148816487
"211",0.0184273422899853
"212",0.0144970066374754
"213",0.0148551442893058
"214",0.0165298463022503
"215",0.0182821364894530
"216",0.0120747365648430
"217",0.0158270739078784
"218",0.0149555223846936
"219",0.013974226976902
"220",0.0152004393163360
"221",0.0173093983034063
"222",0.0146426550607768
"223",0.0162176871886534
"224",0.0145341553378564
"225",0.0174066101306966
"226",0.0123586041664222
"227",0.0143612803441075
"228",0.0114513168414934
"229",0.0139787233620998
"230",0.0159275763499566
"231",0.0169605030488620
"232",0.0153598168930083
"233",0.0150440228360074
"234",0.0127424263867884
"235",0.0169901521584839
"236",0.0140482439226185
"237",0.0151736069777652
"238",0.0123495202716922
"239",0.0140964397066966
"240",0.0161213841872948
"241",0.0168910985278134
"242",0.0139283648597094
"243",0.0153486815913228
"244",0.0184990691104600
"245",0.016008179529686
"246",0.0159489654015393
"247",0.0150239208551524
"248",0.0145339479423103
"249",0.0122661738394645
"250",0.0141440799426782
"251",0.0137819627234795
"252",0.0172204021367219
"253",0.0172826562102757
"254",0.0173770673591040
"255",0.0157548897215038
"256",0.0162835100837209
"257",0.0137437855059513
"258",0.0201733098548651
"259",0.0100844837680775
"260",0.0151666197904155
"261",0.0160904752019876
"262",0.0158161743005645
"263",0.0150627677579111
"264",0.0155382253720365
"265",0.0136842083316474
"266",0.0139740639387438
"267",0.0161406915835035
"268",0.0153585810820284
"269",0.0137538188422253
"270",0.0140380725809602
"271",0.0139261730486346
"272",0.0120826651393496
"273",0.0144962749331273
"274",0.0131389648903699
"275",0.0119802806967518
"276",0.0181606012672125
"277",0.00957187924910514
"278",0.0135007201750786
"279",0.0183218919004768
"280",0.0170374746648789
"281",0.0139954324020122
"282",0.0146659146118133
"283",0.0144145865124236
"284",0.0201065532364415
"285",0.0122292953330484
"286",0.0190677970814731
"287",0.0194517170770821
"288",0.0232882929444101
"289",0.0149030934292886
"290",0.0170103894715719
"291",0.0147352809356933
"292",0.0153298572465025
"293",0.0127472189059675
"294",0.0227670469973470
"295",0.0203557279806494
"296",0.0156907009758790
"297",0.0124686438741374
"298",0.0148363719033873
"299",0.0167516084373945
"300",0.0176705850048322
"301",0.0171090697968553
"302",0.0170322273531251
"303",0.0145458275738142
"304",0.0151507947704340
"305",0.0193418772047857
"306",0.0136187676770064
"307",0.0150207637907513
"308",0.0179204916778389
"309",0.0205477017832567
"310",0.0188500135760863
"311",0.0141586656355116
"312",0.0137847547213199
"313",0.0161883951923645
"314",0.0177922054785804
"315",0.0152938827251629
"316",0.0142835441221578
"317",0.0168137915572862
"318",0.0162912368532246
"319",0.0118216581247739
"320",0.0187643778127233
"321",0.0130578370266507
"322",0.0153350034572471
"323",0.014563637719413
"324",0.0145068882285054
"325",0.0134484351060734
"326",0.0159578830059780
"327",0.00768672895789916
"328",0.0153669810178825
"329",0.0132957533903976
"330",0.0144461746620915
"331",0.0156405523286852
"332",0.0110294247665463
"333",0.0183893876457020
"334",0.0149469618742508
"335",0.0158666754611389
"336",0.0163272562833061
"337",0.0163178629370478
"338",0.0187108473822726
"339",0.0167208289281203
"340",0.0118058006694316
"341",0.0163445401551426
"342",0.0190129679376934
"343",0.0141072658318223
"344",0.0158243140034555
"345",0.0150158137992417
"346",0.0151734720679139
"347",0.0138336232619327
"348",0.0135862105961124
"349",0.0151431850531120
"350",0.0157084774035151
"351",0.0144064565183169
"352",0.0171252763424631
"353",0.0190455035964099
"354",0.00990465163331429
"355",0.0124335613582472
"356",0.0180391464241887
"357",0.0120445542150229
"358",0.0148478379678299
"359",0.0154917970281639
"360",0.0160583559561631
"361",0.0206207257322565
"362",0.014222972521471
"363",0.0121690629051189
"364",0.0153341272446570
"365",0.0203924023690576
"366",0.0137791136653687
"367",0.0158186589423761
"368",0.0155201203913461
"369",0.0171355047271099
"370",0.0153549037069157
"371",0.0162856130427810
"372",0.0128318205539853
"373",0.0165881759300223
"374",0.0138912446805652
"375",0.0179140834389848
"376",0.0245683001400465
"377",0.0141840573953843
"378",0.0156142976434692
"379",0.0149493505947025
"380",0.0146367620119818
"381",0.0199128507902047
"382",0.0149506332990153
"383",0.0149100370763717
"384",0.0145346418459352
"385",0.0144086252338396
"386",0.0158692293785264
"387",0.0153376402909658
"388",0.0163057086084958
"389",0.0213350224442554
"390",0.0162180493190772
"391",0.0191446788091862
"392",0.0163803212002585
"393",0.0156599908060923
"394",0.0157346325163297
"395",0.0154541157737167
"396",0.0168715491024668
"397",0.0167562583268618
"398",0.0208307799108938
"399",0.0138125781891591
"400",0.016452599963451
"401",0.0148916443550094
"402",0.014478753460155
"403",0.0125143081710799
"404",0.0138583586792491
"405",0.0137564164955770
"406",0.0179950231449141
"407",0.0144239381839720
"408",0.0155541939615848
"409",0.0140872406466038
"410",0.0139154953109669
"411",0.0156557960718752
"412",0.0147338249631319
"413",0.0140213176886945
"414",0.0155248221196436
"415",0.0177193317208229
"416",0.0206876601613031
"417",0.0140452080137751
"418",0.0160044700486596
"419",0.0142565295039714
"420",0.0232763407768727
"421",0.016701828864029
"422",0.0169844338919081
"423",0.0144836661749344
"424",0.0110463780740817
"425",0.0160531287903425
"426",0.0147434080095653
"427",0.0155357685950537
"428",0.0110753720927094
"429",0.0147881005930316
"430",0.0139077174059248
"431",0.0139618393511656
"432",0.0140565089965513
"433",0.0179028957511976
"434",0.0159473474628096
"435",0.0214608035173884
"436",0.0166151600217748
"437",0.0190955861743008
"438",0.0161372210730127
"439",0.0128458662504866
